predictor,combinations,mae,mape
mlp,all,2.2320611,0.097421326
mlp,all,2.124072,0.09263757
mlp,all,2.3396952,0.10520503
mlp,all,2.0748098,0.1027543
mlp,all,1.9592484,0.093377754
mlp,all,2.2144823,0.10586727
mlp,all,2.1529088,0.09706164
mlp,all,2.022299,0.11173377
mlp,all,1.8279651,0.08573384
mlp,all,1.4652145,0.07922054
mlp,all,1.7568374,0.086217776
mlp,all,1.045846,0.04624364
mlp,all,2.108542,0.1062241
mlp,all,1.2032862,0.058687206
