model_id,bs,seq_len,search_times,latency
1,4,0,0,41.63312911987305
6,1,16,0,-1
6,2,8,0,-1
1,8,0,0,-1
1,2,0,0,32.16147422790527
1,4,0,0,-1
1,1,0,0,27.133941650390625
1,4,0,0,-1
6,1,16,0,22.1707820892334
1,8,0,0,-1
6,1,32,0,23.436546325683594
1,2,0,0,-1
6,8,8,0,29.546737670898438
1,2,0,0,30.58648109436035
6,2,32,0,-1
6,4,8,0,23.027420043945312
6,1,16,0,16.010761260986328
6,1,8,0,21.422147750854492
1,2,0,0,50.733327865600586
6,1,32,0,-1
6,2,64,0,-1
6,4,16,0,-1
6,8,64,0,-1
1,4,0,0,-1
6,16,8,0,39.9174690246582
6,2,8,0,27.638912200927734
1,16,0,0,29.035091400146484
1,2,0,0,-1
1,1,0,0,36.588430404663086
1,16,0,0,-1
1,8,0,0,32.088279724121094
1,8,0,0,-1
1,1,0,0,31.810760498046875
6,8,8,0,44.167280197143555
1,4,0,0,62.674522399902344
6,8,16,0,-1
6,8,32,0,55.4201602935791
6,8,8,0,-1
6,4,64,0,44.93403434753418
1,16,0,0,34.04355049133301
6,1,64,0,27.29201316833496
6,8,32,0,23.313045501708984
6,4,8,0,17.52448081970215
6,16,32,0,35.59589385986328
1,16,0,0,-1
6,4,16,0,21.77262306213379
1,4,0,0,-1
1,16,0,0,27.142763137817383
6,2,32,0,-1
1,1,0,0,-1
1,4,0,0,29.147863388061523
6,4,64,0,22.54462242126465
6,2,8,0,30.85637092590332
1,8,0,0,-1
1,1,0,0,33.12349319458008
6,4,16,0,-1
1,8,0,0,27.230024337768555
6,2,16,0,-1
1,2,0,0,30.0750732421875
1,16,0,0,-1
6,4,32,0,24.230003356933594
6,4,32,0,25.256633758544922
6,2,64,0,46.94318771362305
1,16,0,0,32.01436996459961
1,16,0,0,-1
6,1,64,0,25.56300163269043
1,4,0,0,-1
1,4,0,0,31.2654972076416
6,2,16,0,-1
6,8,8,0,28.27620506286621
6,8,8,0,46.02169990539551
1,1,0,0,-1
6,4,32,0,-1
6,4,32,2,37.78505325317383
1,8,0,0,27.857065200805664
1,2,0,0,-1
6,8,8,0,19.515037536621094
6,16,16,0,26.56102180480957
6,1,64,0,35.332441329956055
6,2,8,0,51.644325256347656
1,4,0,0,30.660629272460938
6,2,8,0,-1
6,1,32,0,44.53086853027344
6,4,64,0,-1
1,8,0,0,28.638124465942383
6,2,16,0,-1
1,1,0,0,27.385950088500977
1,8,0,0,-1
1,16,0,0,29.185771942138672
1,2,0,0,-1
6,4,32,0,-1
6,16,64,0,39.6885871887207
1,8,0,0,-1
1,16,0,0,30.588865280151367
1,1,0,0,-1
6,1,16,0,-1
6,8,16,0,20.993471145629883
6,2,64,0,26.454925537109375
1,16,0,0,29.44469451904297
6,1,8,0,-1
6,16,64,0,39.171457290649414
6,16,32,0,-1
1,1,0,0,30.913829803466797
1,1,0,0,-1
6,2,8,0,26.268720626831055
6,4,64,0,22.7968692779541
1,2,0,0,34.56711769104004
6,1,64,0,-1
1,16,0,0,26.733875274658203
6,16,64,0,-1
6,8,32,0,21.162748336791992
1,1,0,0,-1
6,1,32,0,25.539875030517578
1,16,0,0,-1
1,16,0,0,-1
6,1,64,0,40.02237319946289
6,16,8,0,-1
1,1,0,0,-1
6,2,32,0,-1
1,4,0,4,32.91153907775879
1,2,0,0,-1
1,2,0,0,30.159950256347656
1,16,0,0,-1
6,8,64,0,25.30050277709961
1,4,0,0,30.604124069213867
6,2,32,0,-1
1,8,0,0,-1
6,16,16,0,-1
6,1,16,0,42.376041412353516
1,2,0,0,-1
1,4,0,0,32.848358154296875
1,1,0,0,-1
1,8,0,0,-1
1,16,0,0,26.362180709838867
6,2,32,0,-1
1,1,0,0,31.59809112548828
1,4,0,0,-1
1,8,0,0,31.331300735473633
1,2,0,0,-1
6,8,64,0,-1
1,4,0,0,-1
6,16,64,0,21.985292434692383
1,16,0,0,-1
6,8,8,0,23.363113403320312
1,8,0,0,27.74834632873535
1,8,0,0,-1
6,8,64,0,20.738601684570312
1,8,0,0,30.894994735717773
6,4,8,0,-1
6,4,64,0,-1
1,4,0,0,-1
1,4,0,0,-1
6,1,32,0,22.479534149169922
6,8,32,0,31.502485275268555
6,4,16,0,46.176910400390625
1,4,0,0,-1
1,16,0,0,-1
6,1,64,4,37.995100021362305
1,2,0,0,40.86446762084961
1,16,0,0,-1
1,4,0,0,-1
6,4,8,0,19.12832260131836
6,4,16,0,18.973588943481445
6,4,16,0,23.885011672973633
6,16,32,0,24.24931526184082
1,8,0,0,27.71735191345215
6,8,32,0,18.53203773498535
6,1,16,0,31.440019607543945
1,16,0,0,26.76987648010254
1,2,0,0,-1
1,16,0,0,26.044130325317383
1,1,0,0,-1
1,4,0,0,-1
6,8,32,0,-1
