model_id,bs,seq_len,search_times,latency
5,8,0,0,17.955780029296875
1,16,0,0,38.39826583862305
5,4,0,0,-1
5,2,0,0,-1
1,1,0,0,-1
5,16,0,0,-1
1,1,0,0,40.45581817626953
5,1,0,0,-1
5,16,0,0,-1
1,8,0,0,-1
5,4,0,0,10.073184967041016
1,16,0,0,36.09347343444824
1,8,0,0,-1
1,4,0,0,32.538652420043945
1,1,0,0,-1
1,2,0,0,33.35690498352051
1,2,0,0,30.43818473815918
5,4,0,0,11.700868606567383
5,16,0,0,26.188135147094727
5,16,0,0,39.710044860839844
5,16,0,0,-1
1,16,0,0,27.11653709411621
5,16,0,0,16.409635543823242
5,2,0,0,9.672403335571289
5,2,0,0,7.008075714111328
1,4,0,0,34.049034118652344
5,2,0,0,-1
1,1,0,0,-1
5,16,0,0,16.39556884765625
5,2,0,0,5.517005920410156
1,16,0,0,29.55341339111328
5,8,0,0,9.436845779418945
5,4,0,0,13.071298599243164
1,1,0,0,31.60572052001953
5,4,0,0,-1
1,4,0,0,-1
1,4,0,0,34.10029411315918
1,1,0,0,-1
1,2,0,0,30.200958251953125
1,16,0,0,-1
1,2,0,0,34.27767753601074
1,4,0,0,-1
1,1,0,0,-1
1,2,0,0,-1
1,1,0,0,30.823945999145508
1,16,0,0,-1
1,1,0,0,30.41362762451172
1,4,0,0,-1
5,1,0,0,8.513450622558594
5,1,0,0,6.688594818115234
5,4,0,0,11.829137802124023
5,16,0,0,23.21457862854004
1,2,0,0,31.306028366088867
1,2,0,0,-1
1,4,0,0,30.031919479370117
1,8,0,0,-1
1,8,0,0,-1
5,8,0,0,-1
5,1,0,0,7.130146026611328
5,4,0,0,10.538339614868164
1,2,0,0,34.52873229980469
1,8,0,0,-1
5,4,0,0,9.051084518432617
1,8,0,0,28.302907943725586
5,1,0,0,13.42916488647461
1,4,0,0,35.86268424987793
1,8,0,0,-1
5,16,0,0,-1
5,16,0,0,17.01641082763672
5,1,0,0,-1
1,4,0,0,29.24633026123047
1,8,0,0,-1
1,8,0,0,30.836105346679688
5,8,0,0,9.62209701538086
1,8,0,0,30.121326446533203
1,1,0,0,-1
