model,bs,seq_len,latency
resnet152,16,0,51745
resnet152,16,0,75984
resnet152,16,0,46166
resnet152,16,0,67022
resnet152,16,0,68102
resnet152,16,0,75875
resnet152,16,0,75999
resnet152,16,0,60319
resnet152,16,0,66546
resnet152,16,0,70422
resnet152,16,0,61503
resnet152,16,0,54306
resnet152,16,0,57435
resnet152,16,0,57967
resnet152,16,0,68320
resnet152,16,0,54361
resnet152,16,0,66557
resnet152,16,0,53823
resnet152,16,0,79677
resnet152,16,0,69913
resnet152,16,0,71353
resnet152,16,0,48604
resnet152,16,0,62519
resnet152,16,0,76745
resnet152,16,0,60182
resnet152,16,0,75205
resnet152,16,0,77947
resnet152,16,0,58248
resnet152,16,0,53412
resnet152,16,0,62366
resnet152,16,0,77388
resnet152,16,0,43428
resnet152,16,0,84754
resnet152,16,0,67068
resnet152,16,0,55267
resnet152,16,0,56007
resnet152,16,0,45843
resnet152,16,0,68447
resnet152,16,0,83255
resnet152,16,0,74586
resnet152,16,0,57256
resnet152,16,0,73149
resnet152,16,0,76231
resnet152,16,0,87678
resnet152,16,0,56268
resnet152,16,0,86013
resnet152,16,0,61666
resnet152,16,0,61824
resnet152,16,0,53956
resnet152,16,0,55494
resnet152,16,0,78216
resnet152,16,0,63894
resnet152,16,0,61346
resnet152,16,0,62462
resnet152,16,0,57478
resnet152,16,0,103839
resnet152,16,0,70988
resnet152,16,0,73332
resnet152,16,0,61146
resnet152,16,0,93205
resnet152,16,0,57015
resnet152,16,0,73712
resnet152,16,0,77953
resnet152,16,0,54564
resnet152,16,0,67301
resnet152,16,0,76600
resnet152,16,0,69557
resnet152,16,0,69356
resnet152,16,0,49713
resnet152,16,0,67359
resnet152,16,0,59400
resnet152,16,0,62813
resnet152,16,0,64990
resnet152,16,0,63997
resnet152,16,0,57125
resnet152,16,0,65983
resnet152,16,0,63620
resnet152,16,0,55739
resnet152,16,0,57039
resnet152,16,0,52874
resnet152,16,0,51674
resnet152,16,0,53350
resnet152,16,0,63147
resnet152,16,0,75470
resnet152,16,0,60342
resnet152,16,0,55150
resnet152,16,0,67304
resnet152,16,0,63761
resnet152,16,0,51447
resnet152,16,0,85216
resnet152,16,0,49736
resnet152,16,0,55298
resnet152,16,0,48805
resnet152,16,0,56073
resnet152,16,0,40114
resnet152,16,0,56551
resnet152,16,0,58848
resnet152,16,0,52790
