colocation,FCFS_tail,SJF_tail,EDF_tail,Abacus_tail
Res101+Res152+VGG19+Bert,1.74450550020658,,1.7566796100323014
Res101Bert+Res152VGG19,1.3235600022536058,1.3852009113018298,1.32551664851262,1.0094412630521334
Res101Res152+VGG19Bert,1.26203462101863,1.3635834972675036,1.2795245126577517,1.0349197387695312
Res101VGG19+Resn152Bert,1.248007084773137,1.2898217773437504,1.2309412607046275,0.962140932523287
Res101Res152VGG19Bert,1.0972853299654446,1.3084371995192308,1.1728589993990386,0.9738761649498572
