model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,46,51,1,0,inception_v3,6,12,1,0,vgg19,13,18,1,0,11723.5,11730.15306122449,100.1428930141383
resnet152,6,46,1,0,inception_v3,2,7,1,0,vgg19,17,21,1,0,25095.0,25211.969387755104,638.2801261758459
resnet152,20,32,1,0,inception_v3,1,10,1,0,vgg19,6,19,1,0,14620.5,14997.877551020409,1161.245340187976
resnet152,16,31,1,0,inception_v3,2,7,1,0,vgg19,11,17,1,0,9811.5,10238.030612244898,1320.9276691878915
resnet152,46,51,1,0,inception_v3,7,13,1,0,vgg19,7,14,1,0,11682.5,11775.30612244898,483.25512778856694
resnet152,8,48,1,0,inception_v3,0,6,1,0,vgg19,17,21,1,0,25061.5,25100.102040816328,285.15171363986826
resnet152,4,47,1,0,inception_v3,4,9,1,0,vgg19,8,20,1,0,27316.0,27745.418367346938,1010.8221640910643
resnet152,39,49,1,0,inception_v3,6,13,1,0,vgg19,8,19,1,0,13696.5,13791.908163265307,316.02748158512196
resnet152,44,49,1,0,inception_v3,4,13,1,0,vgg19,0,17,1,0,16148.0,16335.265306122448,781.1371296558289
resnet152,2,45,1,0,inception_v3,7,11,1,0,vgg19,7,17,1,0,26949.0,27553.081632653062,1700.8556230553395
resnet152,31,36,1,0,inception_v3,8,12,1,0,vgg19,14,21,1,0,7892.0,7944.84693877551,348.8222268721084
resnet152,26,34,1,0,inception_v3,3,8,1,0,vgg19,5,21,1,0,8603.0,8747.704081632653,554.3920959986617
resnet152,38,47,1,0,inception_v3,3,7,1,0,vgg19,17,21,1,0,6385.0,6676.632653061224,978.7506966948816
resnet152,28,32,1,0,inception_v3,5,12,1,0,vgg19,4,15,1,0,12815.5,13249.091836734693,1165.5468900007859
resnet152,25,43,1,0,inception_v3,5,11,1,0,vgg19,13,20,1,0,11751.0,12226.959183673469,1654.765529468662
resnet152,3,26,1,0,inception_v3,7,12,1,0,vgg19,6,20,1,0,15157.0,15294.877551020409,608.1572243228254
