model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,45,51,1,0,vgg19,5,15,1,0,bert,6,10,1,64,6561.0,6592.2959183673465,139.44490603846012
resnet152,46,50,1,0,vgg19,5,19,1,0,bert,3,12,1,64,13929.0,13863.857142857143,201.3634646552328
resnet152,24,48,1,0,vgg19,17,22,1,0,bert,4,11,1,64,12828.5,13320.173469387755,1620.3025544223385
resnet152,19,38,1,0,vgg19,16,22,1,0,bert,7,12,1,32,10458.5,11020.734693877552,1672.6299196116302
resnet152,47,51,1,0,vgg19,8,12,1,0,bert,1,10,1,32,13763.5,13750.061224489797,89.12864084517831
resnet152,38,51,1,0,vgg19,17,22,1,0,bert,1,8,1,32,10666.5,10701.357142857143,292.65506094014086
resnet152,10,35,1,0,vgg19,12,22,1,0,bert,8,12,1,32,13480.0,14474.556701030928,2406.0387814661285
resnet152,15,35,1,0,vgg19,6,19,1,0,bert,8,12,1,8,11088.5,11388.34693877551,1278.850624760301
resnet152,21,28,1,0,vgg19,6,15,1,0,bert,8,12,1,8,6206.5,6237.673469387755,184.50694226805183
resnet152,44,49,1,0,vgg19,7,22,1,0,bert,6,10,1,32,6636.5,6631.2959183673465,84.27823322534219
resnet152,12,32,1,0,vgg19,4,21,1,0,bert,6,10,1,64,11210.0,11216.387755102041,78.07762132713376
resnet152,7,15,1,0,vgg19,18,22,1,0,bert,5,12,1,32,10869.0,10902.061224489797,180.99192767694066
resnet152,40,51,1,0,vgg19,9,13,1,0,bert,1,5,1,8,6732.0,7212.285714285715,1444.066628854579
resnet152,13,42,1,0,vgg19,7,11,1,0,bert,7,11,1,64,15531.0,15623.785714285714,665.7982971208169
resnet152,3,47,1,0,vgg19,15,19,1,0,bert,6,12,1,64,23264.5,23395.826530612245,758.6577839669726
resnet152,36,48,1,0,vgg19,11,18,1,0,bert,3,8,1,32,6820.0,7110.7040816326535,1087.8913999782358
resnet152,18,27,1,0,vgg19,16,22,1,0,bert,6,10,1,32,5653.5,5874.071428571428,659.0841395916189
resnet152,45,51,1,0,vgg19,12,16,1,0,bert,3,8,1,32,6838.5,6867.132653061224,137.92682456207564
resnet152,41,52,1,0,vgg19,3,17,1,0,bert,3,8,1,8,6586.5,6626.091836734694,274.70998015847044
resnet152,48,52,1,0,vgg19,13,18,1,0,bert,2,12,1,8,12369.0,12384.377551020409,231.21619511573667
resnet152,7,45,1,0,vgg19,8,15,1,0,bert,0,11,1,16,20439.0,21853.34693877551,2881.0410784922897
resnet152,32,47,1,0,vgg19,13,18,1,0,bert,1,10,1,16,11115.5,11186.979591836734,387.85632674451983
resnet152,40,47,1,0,vgg19,0,11,1,0,bert,0,9,1,16,11275.0,11287.336734693878,172.84125923939638
resnet152,32,39,1,0,vgg19,17,21,1,0,bert,2,6,1,64,5553.5,5559.2959183673465,133.2591620454465
resnet152,31,37,1,0,vgg19,18,22,1,0,bert,6,12,1,8,7664.0,7743.540816326531,557.4550255194446
resnet152,29,41,1,0,vgg19,18,22,1,0,bert,3,7,1,8,6811.5,7277.081632653061,1287.4208885817095
resnet152,2,20,1,0,vgg19,1,5,1,0,bert,5,10,1,16,9946.5,10148.969387755102,936.8096364690415
resnet152,42,51,1,0,vgg19,9,18,1,0,bert,6,11,1,32,6923.0,7071.755102040816,686.6035017362045
resnet152,11,38,1,0,vgg19,8,12,1,0,bert,4,9,1,16,14586.0,14596.244897959185,78.95814717039289
resnet152,21,40,1,0,vgg19,13,19,1,0,bert,4,12,1,32,10647.5,11117.80612244898,1404.5312941650843
resnet152,45,49,1,0,vgg19,10,16,1,0,bert,2,8,1,64,8065.0,8070.448979591837,77.04837103112956
resnet152,35,50,1,0,vgg19,11,17,1,0,bert,5,12,1,8,8672.0,8849.19387755102,712.136533259832
resnet152,37,51,1,0,vgg19,0,20,1,0,bert,3,11,1,8,10226.0,10390.632653061224,565.3849219374229
resnet152,0,38,1,0,vgg19,11,20,1,0,bert,2,12,1,32,20175.0,20332.377551020407,820.9820340984143
resnet152,12,19,1,0,vgg19,7,22,1,0,bert,5,9,1,16,5459.5,5654.755102040816,745.9093212550662
resnet152,40,47,1,0,vgg19,17,21,1,0,bert,2,7,1,64,6825.0,6908.34693877551,368.0928260820603
resnet152,39,49,1,0,vgg19,1,11,1,0,bert,8,12,1,32,5964.5,6106.622448979592,727.1525050623784
