model,start,end,bs,model,start,end,bs,median,mean,var
bert,2,8,1,bert,2,10,1,12522.0,12564.42,238.57984743058245
bert,3,11,1,bert,1,9,1,12510.0,12598.97,338.08157166577416
bert,7,11,1,bert,7,11,1,6500.0,6518.94,130.54017159480065
bert,6,11,1,bert,3,10,1,10995.5,11081.6,290.14241330767203
bert,5,11,1,bert,6,10,1,9389.0,9493.06,278.5533636486912
bert,3,9,1,bert,5,11,1,9548.0,9579.35,185.0617396978641
bert,2,9,1,bert,4,9,1,10872.0,10914.43,224.59836397445108
bert,5,10,1,bert,6,10,1,7958.5,7990.67,186.2526807860762
bert,2,10,1,bert,0,7,1,12360.5,12411.44,279.52478673634647
bert,4,9,1,bert,0,4,1,7989.0,8012.58,186.76199720499886
bert,7,11,1,bert,3,9,1,9484.0,9543.25,221.8237757770794
bert,4,10,1,bert,4,11,1,10989.5,11047.16,231.47292368655133
bert,2,11,1,bert,2,11,1,14010.5,14106.7,367.06807270586745
bert,6,10,1,bert,4,8,1,6494.5,6551.96,247.08892812103096
bert,4,8,1,bert,3,10,1,11626.5,11594.08,511.4155195142204
bert,7,11,1,bert,2,7,1,8063.5,8080.96,174.22485012190427
bert,3,9,1,bert,6,10,1,9392.5,9457.69,212.64471284280737
bert,1,10,1,bert,0,8,1,13844.5,13944.65,372.29892223856893
bert,6,10,1,bert,5,10,1,8116.5,8138.15,192.15287533628012
bert,6,11,1,bert,6,10,1,7954.0,7975.55,128.08937309550703
bert,2,9,1,bert,4,11,1,11043.0,11091.0,293.38483260046013
bert,6,11,1,bert,5,11,1,9537.0,9564.61,169.41433794103733
bert,6,10,1,bert,6,11,1,8062.5,8128.73,232.95625576489678
bert,6,10,1,bert,1,6,1,8042.5,8047.29,145.06579851915473
bert,3,11,1,bert,1,9,1,12519.0,12603.39,353.87613355523143
bert,6,10,1,bert,7,11,1,6482.0,6527.01,165.95038385011344
bert,3,8,1,bert,4,8,1,8008.0,8038.89,189.092934558645
bert,7,11,1,bert,5,10,1,8037.5,8085.33,189.71642285263553
bert,0,10,1,bert,7,11,1,15075.5,15173.45,398.35515247075693
