resnet101_inception_v3
0.33857238
0.023776587
resnet50_resnet152
0.7093794
0.053606715
resnet152_vgg19
0.43262568
0.03728187
resnet50_inception_v3
0.3114201
0.024686232
resnet101_resnet152
0.22192909
0.019014813
inception_v3_inception_v3
0.85459197
0.051366176
vgg19_vgg19
0.27164382
0.065134004
vgg16_vgg16
0.25747752
0.06517536
resnet101_vgg19
0.18029459
0.021496935
resnet152_resnet152
