model,bs,seq_len,latency
resnet101,16,0,34053
resnet101,16,0,32295
resnet101,16,0,32241
resnet101,16,0,30474
resnet101,16,0,37362
resnet101,16,0,26968
resnet101,16,0,24929
resnet101,16,0,28650
resnet101,16,0,34422
resnet101,16,0,33519
resnet101,16,0,28457
resnet101,16,0,32800
resnet101,16,0,32994
resnet101,16,0,34522
resnet101,16,0,24941
resnet101,16,0,22153
resnet101,16,0,26620
resnet101,16,0,23301
resnet101,16,0,31893
resnet101,16,0,24909
resnet101,16,0,21556
resnet101,16,0,28536
resnet101,16,0,28432
resnet101,16,0,22880
resnet101,16,0,21650
resnet101,16,0,21289
resnet101,16,0,24667
resnet101,16,0,29598
resnet101,16,0,21293
resnet101,16,0,28575
resnet101,16,0,26001
resnet101,16,0,25321
resnet101,16,0,21594
resnet101,16,0,29932
resnet101,16,0,24903
resnet101,16,0,24300
resnet101,16,0,31254
resnet101,16,0,31078
resnet101,16,0,35104
resnet101,16,0,27491
resnet101,16,0,32278
resnet101,16,0,25854
resnet101,16,0,21611
resnet101,16,0,21375
resnet101,16,0,26550
resnet101,16,0,31039
resnet101,16,0,33376
resnet101,16,0,32612
resnet101,16,0,32513
resnet101,16,0,36383
resnet101,16,0,33356
resnet101,16,0,31006
resnet101,16,0,33124
resnet101,16,0,25634
resnet101,16,0,25618
resnet101,16,0,28104
resnet101,16,0,34373
resnet101,16,0,32585
resnet101,16,0,25535
resnet101,16,0,24402
resnet101,16,0,37270
resnet101,16,0,29064
resnet101,16,0,30605
resnet101,16,0,32326
resnet101,16,0,25252
resnet101,16,0,32941
resnet101,16,0,29239
resnet101,16,0,33660
resnet101,16,0,26766
resnet101,16,0,30922
resnet101,16,0,23929
resnet101,16,0,27962
resnet101,16,0,24681
resnet101,16,0,29557
resnet101,16,0,28902
resnet101,16,0,30560
resnet101,16,0,28875
resnet101,16,0,32336
resnet101,16,0,32454
resnet101,16,0,32919
resnet101,16,0,37041
resnet101,16,0,33826
resnet101,16,0,30362
resnet101,16,0,38326
resnet101,16,0,31332
resnet101,16,0,24346
resnet101,16,0,27515
resnet101,16,0,30916
resnet101,16,0,34105
resnet101,16,0,27055
resnet101,16,0,24226
resnet101,16,0,32494
resnet101,16,0,30893
resnet101,16,0,32029
resnet101,16,0,24902
resnet101,16,0,24314
resnet101,16,0,29054
resnet101,16,0,33183
resnet101,16,0,26753
resnet101,16,0,23718
resnet101,16,0,28422
resnet101,16,0,31315
resnet101,16,0,25911
resnet101,16,0,30452
resnet101,16,0,32243
resnet101,16,0,31709
resnet101,16,0,32240
resnet101,16,0,29595
resnet101,16,0,25977
resnet101,16,0,23528
resnet101,16,0,22827
resnet101,16,0,28283
resnet101,16,0,25344
resnet101,16,0,28228
resnet101,16,0,32980
resnet101,16,0,27910
resnet101,16,0,28711
resnet101,16,0,28002
resnet101,16,0,30921
resnet101,16,0,26371
resnet101,16,0,31912
resnet101,16,0,29959
resnet101,16,0,22607
resnet101,16,0,26175
resnet101,16,0,27301
resnet101,16,0,29569
resnet101,16,0,32520
resnet101,16,0,31522
resnet101,16,0,29226
resnet101,16,0,22856
resnet101,16,0,27847
resnet101,16,0,26575
resnet101,16,0,28274
resnet101,16,0,26237
resnet101,16,0,30631
resnet101,16,0,25872
resnet101,16,0,28809
resnet101,16,0,26223
resnet101,16,0,27200
resnet101,16,0,25977
resnet101,16,0,27952
resnet101,16,0,30228
resnet101,16,0,24767
resnet101,16,0,23038
resnet101,16,0,29330
resnet101,16,0,21584
resnet101,16,0,28488
resnet101,16,0,31009
resnet101,16,0,23543
resnet101,16,0,22894
resnet101,16,0,27926
resnet101,16,0,31496
resnet101,16,0,28791
resnet101,16,0,23399
resnet101,16,0,25301
resnet101,16,0,28969
resnet101,16,0,33884
resnet101,16,0,27046
resnet101,16,0,28694
resnet101,16,0,30566
resnet101,16,0,31885
resnet101,16,0,26968
resnet101,16,0,31757
resnet101,16,0,32414
resnet101,16,0,29566
resnet101,16,0,31739
resnet101,16,0,31884
resnet101,16,0,28905
resnet101,16,0,27297
resnet101,16,0,27306
resnet101,16,0,29252
resnet101,16,0,32837
resnet101,16,0,24417
resnet101,16,0,35313
resnet101,16,0,32312
resnet101,16,0,33254
resnet101,16,0,25338
resnet101,16,0,32406
resnet101,16,0,28304
resnet101,16,0,24412
resnet101,16,0,22747
resnet101,16,0,27232
resnet101,16,0,29804
resnet101,16,0,25114
resnet101,16,0,22886
resnet101,16,0,23100
resnet101,16,0,29791
resnet101,16,0,29125
resnet101,16,0,31196
resnet101,16,0,32184
resnet101,16,0,28789
resnet101,16,0,30099
resnet101,16,0,31708
resnet101,16,0,23171
resnet101,16,0,28449
resnet101,16,0,27085
resnet101,16,0,29934
resnet101,16,0,25644
resnet101,16,0,30658
resnet101,16,0,28522
resnet101,16,0,24178
resnet101,16,0,26195
resnet101,16,0,30839
resnet101,16,0,30453
resnet101,16,0,34877
resnet101,16,0,33331
resnet101,16,0,28192
resnet101,16,0,33501
resnet101,16,0,25830
resnet101,16,0,26748
resnet101,16,0,33554
resnet101,16,0,28389
resnet101,16,0,34164
resnet101,16,0,29762
resnet101,16,0,28147
resnet101,16,0,30476
resnet101,16,0,32127
resnet101,16,0,24610
resnet101,16,0,30602
resnet101,16,0,23981
resnet101,16,0,22598
resnet101,16,0,22613
resnet101,16,0,23423
resnet101,16,0,23960
resnet101,16,0,27236
resnet101,16,0,22669
resnet101,16,0,24803
resnet101,16,0,31413
resnet101,16,0,31049
resnet101,16,0,25897
resnet101,16,0,29776
resnet101,16,0,28301
resnet101,16,0,30807
resnet101,16,0,25056
resnet101,16,0,27027
resnet101,16,0,30068
resnet101,16,0,30931
resnet101,16,0,31877
resnet101,16,0,25520
resnet101,16,0,33637
resnet101,16,0,32471
resnet101,16,0,26326
resnet101,16,0,28398
resnet101,16,0,30760
resnet101,16,0,32230
resnet101,16,0,31481
resnet101,16,0,23741
resnet101,16,0,27264
resnet101,16,0,23642
resnet101,16,0,27820
resnet101,16,0,29860
resnet101,16,0,24580
resnet101,16,0,22625
resnet101,16,0,28890
resnet101,16,0,23261
resnet101,16,0,28574
resnet101,16,0,35476
resnet101,16,0,25610
resnet101,16,0,23245
resnet101,16,0,21946
resnet101,16,0,28453
resnet101,16,0,33591
resnet101,16,0,32908
resnet101,16,0,33020
resnet101,16,0,30699
resnet101,16,0,32142
resnet101,16,0,31714
resnet101,16,0,31127
resnet101,16,0,29289
resnet101,16,0,33074
resnet101,16,0,24586
resnet101,16,0,23862
resnet101,16,0,28703
resnet101,16,0,30811
resnet101,16,0,23081
resnet101,16,0,27042
resnet101,16,0,29984
resnet101,16,0,34387
resnet101,16,0,32810
resnet101,16,0,29009
resnet101,16,0,33787
resnet101,16,0,32327
resnet101,16,0,31703
resnet101,16,0,24429
resnet101,16,0,32821
resnet101,16,0,24970
resnet101,16,0,29383
resnet101,16,0,24614
resnet101,16,0,31677
resnet101,16,0,31928
resnet101,16,0,27023
resnet101,16,0,28536
resnet101,16,0,24640
resnet101,16,0,23092
resnet101,16,0,31365
resnet101,16,0,27495
resnet101,16,0,22758
resnet101,16,0,22865
resnet101,16,0,21136
resnet101,16,0,29129
resnet101,16,0,21902
resnet101,16,0,22543
resnet101,16,0,23213
resnet101,16,0,29429
resnet101,16,0,23719
resnet101,16,0,21891
resnet101,16,0,22037
resnet101,16,0,27448
resnet101,16,0,30603
resnet101,16,0,27414
resnet101,16,0,26083
resnet101,16,0,22746
resnet101,16,0,21332
resnet101,16,0,23578
resnet101,16,0,31500
resnet101,16,0,32554
resnet101,16,0,28072
resnet101,16,0,32790
resnet101,16,0,32603
resnet101,16,0,35772
resnet101,16,0,33355
resnet101,16,0,25263
resnet101,16,0,31382
resnet101,16,0,24535
resnet101,16,0,24902
resnet101,16,0,25142
resnet101,16,0,26284
resnet101,16,0,23438
resnet101,16,0,29526
resnet101,16,0,27952
resnet101,16,0,26786
resnet101,16,0,21973
resnet101,16,0,27844
resnet101,16,0,30614
resnet101,16,0,23501
resnet101,16,0,30205
resnet101,16,0,23319
resnet101,16,0,29830
resnet101,16,0,21937
resnet101,16,0,28126
resnet101,16,0,27172
resnet101,16,0,35041
resnet101,16,0,28788
resnet101,16,0,30539
resnet101,16,0,25950
resnet101,16,0,21668
resnet101,16,0,21570
resnet101,16,0,27852
resnet101,16,0,29797
resnet101,16,0,31707
resnet101,16,0,30463
resnet101,16,0,34206
resnet101,16,0,26099
resnet101,16,0,24523
resnet101,16,0,26706
resnet101,16,0,25689
resnet101,16,0,32031
resnet101,16,0,32006
resnet101,16,0,27531
resnet101,16,0,34444
resnet101,16,0,26467
resnet101,16,0,30296
resnet101,16,0,32216
resnet101,16,0,31719
resnet101,16,0,34747
resnet101,16,0,32583
resnet101,16,0,36916
resnet101,16,0,33528
resnet101,16,0,25267
resnet101,16,0,31606
resnet101,16,0,32258
resnet101,16,0,26776
resnet101,16,0,37064
resnet101,16,0,32314
resnet101,16,0,29492
resnet101,16,0,32445
resnet101,16,0,29802
resnet101,16,0,28134
resnet101,16,0,28280
resnet101,16,0,31376
resnet101,16,0,24393
resnet101,16,0,28435
resnet101,16,0,30771
resnet101,16,0,29386
resnet101,16,0,27120
resnet101,16,0,26934
resnet101,16,0,27518
resnet101,16,0,25955
resnet101,16,0,34531
resnet101,16,0,29289
resnet101,16,0,28867
resnet101,16,0,26413
resnet101,16,0,29447
resnet101,16,0,34959
resnet101,16,0,31903
resnet101,16,0,32005
resnet101,16,0,33289
resnet101,16,0,29963
resnet101,16,0,34012
resnet101,16,0,32757
resnet101,16,0,33209
resnet101,16,0,35329
resnet101,16,0,26481
resnet101,16,0,24310
resnet101,16,0,35298
resnet101,16,0,26895
resnet101,16,0,31900
resnet101,16,0,31737
resnet101,16,0,31530
resnet101,16,0,27795
resnet101,16,0,27687
resnet101,16,0,31551
resnet101,16,0,23703
resnet101,16,0,23921
resnet101,16,0,21441
resnet101,16,0,31366
resnet101,16,0,28195
resnet101,16,0,27979
resnet101,16,0,24852
resnet101,16,0,27745
resnet101,16,0,24666
resnet101,16,0,27932
resnet101,16,0,30540
resnet101,16,0,31655
resnet101,16,0,29009
resnet101,16,0,32070
resnet101,16,0,37239
resnet101,16,0,33448
resnet101,16,0,32445
resnet101,16,0,33148
resnet101,16,0,28581
resnet101,16,0,23892
resnet101,16,0,21384
resnet101,16,0,22217
resnet101,16,0,27040
resnet101,16,0,24245
resnet101,16,0,31439
resnet101,16,0,31985
resnet101,16,0,26654
resnet101,16,0,23616
resnet101,16,0,21542
resnet101,16,0,28746
resnet101,16,0,29691
resnet101,16,0,31938
resnet101,16,0,22870
resnet101,16,0,27705
resnet101,16,0,26234
resnet101,16,0,27328
