model,bs,seq_len,latency
resnet101,16,0,59209
resnet101,16,0,54443
resnet101,16,0,52536
resnet101,16,0,45996
resnet101,16,0,35816
resnet101,16,0,70823
resnet101,16,0,60171
resnet101,16,0,58144
resnet101,16,0,58605
resnet101,16,0,48061
resnet101,16,0,70460
resnet101,16,0,46472
resnet101,16,0,65865
resnet101,16,0,40409
resnet101,16,0,56171
resnet101,16,0,53907
resnet101,16,0,42367
resnet101,16,0,55872
resnet101,16,0,61374
resnet101,16,0,37235
resnet101,16,0,70889
resnet101,16,0,57933
resnet101,16,0,57749
resnet101,16,0,48697
resnet101,16,0,80907
resnet101,16,0,63463
resnet101,16,0,85977
resnet101,16,0,36179
resnet101,16,0,64691
resnet101,16,0,75084
resnet101,16,0,78849
resnet101,16,0,60035
resnet101,16,0,36775
resnet101,16,0,36299
resnet101,16,0,68085
resnet101,16,0,49194
resnet101,16,0,37199
resnet101,16,0,36716
resnet101,16,0,66206
resnet101,16,0,72277
resnet101,16,0,68151
resnet101,16,0,48919
resnet101,16,0,70470
resnet101,16,0,46235
resnet101,16,0,60791
resnet101,16,0,55407
resnet101,16,0,50983
resnet101,16,0,75045
resnet101,16,0,53419
resnet101,16,0,47932
resnet101,16,0,47520
resnet101,16,0,58703
resnet101,16,0,57217
resnet101,16,0,49589
resnet101,16,0,70675
resnet101,16,0,70602
resnet101,16,0,59441
resnet101,16,0,36412
resnet101,16,0,81435
resnet101,16,0,59540
resnet101,16,0,47667
resnet101,16,0,69472
resnet101,16,0,57504
resnet101,16,0,63835
resnet101,16,0,65429
resnet101,16,0,78160
resnet101,16,0,43425
resnet101,16,0,62169
resnet101,16,0,64370
resnet101,16,0,75619
resnet101,16,0,79355
resnet101,16,0,60322
resnet101,16,0,48370
resnet101,16,0,55250
resnet101,16,0,49218
resnet101,16,0,78121
resnet101,16,0,49922
resnet101,16,0,59435
resnet101,16,0,55378
resnet101,16,0,32741
resnet101,16,0,63894
resnet101,16,0,68380
resnet101,16,0,55471
resnet101,16,0,51973
resnet101,16,0,26547
resnet101,16,0,47711
resnet101,16,0,48271
resnet101,16,0,67672
resnet101,16,0,60922
resnet101,16,0,59657
resnet101,16,0,65831
resnet101,16,0,69342
resnet101,16,0,70798
resnet101,16,0,48352
resnet101,16,0,48168
resnet101,16,0,59617
resnet101,16,0,70360
resnet101,16,0,70224
resnet101,16,0,45901
resnet101,16,0,56903
resnet101,16,0,50111
resnet101,16,0,89668
resnet101,16,0,50175
resnet101,16,0,59649
resnet101,16,0,77973
resnet101,16,0,57155
resnet101,16,0,61148
resnet101,16,0,67901
resnet101,16,0,49170
resnet101,16,0,56330
resnet101,16,0,53884
resnet101,16,0,53507
resnet101,16,0,58345
resnet101,16,0,57960
resnet101,16,0,49662
resnet101,16,0,48032
resnet101,16,0,46607
resnet101,16,0,67872
resnet101,16,0,50460
resnet101,16,0,37144
resnet101,16,0,48168
resnet101,16,0,47879
resnet101,16,0,79109
resnet101,16,0,59483
resnet101,16,0,71341
resnet101,16,0,89898
resnet101,16,0,50207
resnet101,16,0,70620
resnet101,16,0,37730
resnet101,16,0,70185
resnet101,16,0,37519
resnet101,16,0,78133
resnet101,16,0,50887
resnet101,16,0,38484
resnet101,16,0,69159
resnet101,16,0,72614
resnet101,16,0,46445
resnet101,16,0,71142
resnet101,16,0,67419
resnet101,16,0,48766
resnet101,16,0,59838
resnet101,16,0,70899
resnet101,16,0,46325
resnet101,16,0,60137
resnet101,16,0,68526
resnet101,16,0,60309
resnet101,16,0,48562
resnet101,16,0,55279
resnet101,16,0,61650
resnet101,16,0,59961
resnet101,16,0,69116
resnet101,16,0,46278
resnet101,16,0,60703
