model,bs,seq_len,latency
resnet101,16,0,23827
resnet101,16,0,22850
resnet101,16,0,24298
resnet101,16,0,25738
resnet101,16,0,28070
resnet101,16,0,23227
resnet101,16,0,26378
resnet101,16,0,27266
resnet101,16,0,26632
resnet101,16,0,23358
resnet101,16,0,26642
resnet101,16,0,22249
resnet101,16,0,28016
resnet101,16,0,28603
resnet101,16,0,27865
resnet101,16,0,27800
resnet101,16,0,27551
resnet101,16,0,28039
resnet101,16,0,27312
resnet101,16,0,27193
resnet101,16,0,26439
resnet101,16,0,24965
resnet101,16,0,27955
resnet101,16,0,24210
resnet101,16,0,25766
resnet101,16,0,23592
resnet101,16,0,23550
resnet101,16,0,23212
resnet101,16,0,26584
resnet101,16,0,22694
resnet101,16,0,25795
resnet101,16,0,22679
resnet101,16,0,21662
resnet101,16,0,22942
resnet101,16,0,25525
resnet101,16,0,23893
resnet101,16,0,23804
resnet101,16,0,26186
resnet101,16,0,27201
resnet101,16,0,26221
resnet101,16,0,23165
resnet101,16,0,26668
resnet101,16,0,23499
resnet101,16,0,27200
resnet101,16,0,31033
resnet101,16,0,26199
resnet101,16,0,26043
resnet101,16,0,25582
resnet101,16,0,28097
resnet101,16,0,28415
resnet101,16,0,28023
resnet101,16,0,23351
resnet101,16,0,26247
resnet101,16,0,27238
resnet101,16,0,27810
resnet101,16,0,23326
resnet101,16,0,26529
resnet101,16,0,27237
resnet101,16,0,24069
resnet101,16,0,26192
resnet101,16,0,23382
resnet101,16,0,23400
resnet101,16,0,25070
resnet101,16,0,22275
resnet101,16,0,25492
resnet101,16,0,22351
resnet101,16,0,23596
resnet101,16,0,28217
resnet101,16,0,24478
resnet101,16,0,25636
resnet101,16,0,27657
resnet101,16,0,21674
resnet101,16,0,26217
resnet101,16,0,22103
resnet101,16,0,23466
resnet101,16,0,26050
resnet101,16,0,22393
resnet101,16,0,22305
resnet101,16,0,27756
resnet101,16,0,28155
resnet101,16,0,23264
resnet101,16,0,21857
resnet101,16,0,27608
resnet101,16,0,27511
resnet101,16,0,26111
resnet101,16,0,23436
resnet101,16,0,26572
resnet101,16,0,27560
resnet101,16,0,27181
resnet101,16,0,25969
resnet101,16,0,26623
resnet101,16,0,23515
resnet101,16,0,22051
resnet101,16,0,25461
resnet101,16,0,21563
resnet101,16,0,22451
resnet101,16,0,27278
resnet101,16,0,25623
resnet101,16,0,23188
resnet101,16,0,26357
resnet101,16,0,27201
resnet101,16,0,26651
resnet101,16,0,21834
resnet101,16,0,26617
resnet101,16,0,22571
resnet101,16,0,23649
resnet101,16,0,25748
resnet101,16,0,24503
resnet101,16,0,23366
resnet101,16,0,27699
resnet101,16,0,28210
resnet101,16,0,28667
resnet101,16,0,21657
resnet101,16,0,27078
resnet101,16,0,26218
resnet101,16,0,21849
resnet101,16,0,23248
resnet101,16,0,26765
resnet101,16,0,24356
resnet101,16,0,28146
resnet101,16,0,22248
resnet101,16,0,22532
resnet101,16,0,27370
resnet101,16,0,26187
resnet101,16,0,22495
resnet101,16,0,22687
resnet101,16,0,34522
resnet101,16,0,28782
resnet101,16,0,23298
resnet101,16,0,26489
resnet101,16,0,22530
resnet101,16,0,21783
resnet101,16,0,23450
resnet101,16,0,25792
resnet101,16,0,22823
resnet101,16,0,21843
resnet101,16,0,27247
resnet101,16,0,22066
resnet101,16,0,26421
resnet101,16,0,27454
resnet101,16,0,24160
resnet101,16,0,23563
resnet101,16,0,22603
resnet101,16,0,22064
resnet101,16,0,25727
resnet101,16,0,27466
resnet101,16,0,24130
resnet101,16,0,28046
resnet101,16,0,22645
resnet101,16,0,21572
resnet101,16,0,26492
resnet101,16,0,27035
resnet101,16,0,25952
resnet101,16,0,28330
resnet101,16,0,28278
resnet101,16,0,27705
resnet101,16,0,27308
resnet101,16,0,26299
resnet101,16,0,27891
resnet101,16,0,21535
resnet101,16,0,26984
resnet101,16,0,25300
resnet101,16,0,28263
resnet101,16,0,27988
resnet101,16,0,27078
resnet101,16,0,27186
resnet101,16,0,21891
resnet101,16,0,22946
resnet101,16,0,25975
resnet101,16,0,23367
resnet101,16,0,23829
resnet101,16,0,25979
resnet101,16,0,23467
resnet101,16,0,24055
resnet101,16,0,22351
resnet101,16,0,23409
resnet101,16,0,23250
resnet101,16,0,28723
resnet101,16,0,27671
resnet101,16,0,27818
resnet101,16,0,28283
resnet101,16,0,27576
resnet101,16,0,27688
resnet101,16,0,27681
resnet101,16,0,25430
resnet101,16,0,28092
resnet101,16,0,25576
resnet101,16,0,26771
resnet101,16,0,26144
resnet101,16,0,21986
resnet101,16,0,27325
resnet101,16,0,25967
resnet101,16,0,22070
resnet101,16,0,26463
resnet101,16,0,21989
resnet101,16,0,26095
resnet101,16,0,24033
resnet101,16,0,26371
resnet101,16,0,27114
resnet101,16,0,26062
resnet101,16,0,23204
resnet101,16,0,22862
resnet101,16,0,25990
resnet101,16,0,23724
resnet101,16,0,28337
resnet101,16,0,24525
resnet101,16,0,25409
resnet101,16,0,27945
resnet101,16,0,22054
resnet101,16,0,23272
resnet101,16,0,26061
resnet101,16,0,27836
resnet101,16,0,27507
resnet101,16,0,25501
resnet101,16,0,28254
resnet101,16,0,28487
resnet101,16,0,27738
resnet101,16,0,23370
resnet101,16,0,24215
resnet101,16,0,26218
resnet101,16,0,22647
resnet101,16,0,22160
resnet101,16,0,25058
resnet101,16,0,28358
resnet101,16,0,28066
resnet101,16,0,23848
resnet101,16,0,23220
resnet101,16,0,24770
resnet101,16,0,28133
resnet101,16,0,27669
resnet101,16,0,27551
resnet101,16,0,25588
resnet101,16,0,23215
resnet101,16,0,26070
resnet101,16,0,27156
resnet101,16,0,27429
resnet101,16,0,28160
resnet101,16,0,25749
resnet101,16,0,25235
resnet101,16,0,28318
resnet101,16,0,22645
resnet101,16,0,23387
resnet101,16,0,22031
resnet101,16,0,26489
resnet101,16,0,28337
resnet101,16,0,25273
resnet101,16,0,25772
resnet101,16,0,27885
resnet101,16,0,21689
resnet101,16,0,25356
resnet101,16,0,22271
resnet101,16,0,22027
resnet101,16,0,25889
resnet101,16,0,22691
resnet101,16,0,27352
resnet101,16,0,26281
resnet101,16,0,26110
resnet101,16,0,28392
resnet101,16,0,21906
resnet101,16,0,26229
resnet101,16,0,26195
resnet101,16,0,22715
resnet101,16,0,23260
resnet101,16,0,21881
resnet101,16,0,24262
resnet101,16,0,21635
resnet101,16,0,26091
resnet101,16,0,27744
resnet101,16,0,22444
resnet101,16,0,23491
resnet101,16,0,27950
resnet101,16,0,23385
resnet101,16,0,23832
resnet101,16,0,24315
resnet101,16,0,28457
resnet101,16,0,23512
resnet101,16,0,24387
resnet101,16,0,22257
resnet101,16,0,26920
resnet101,16,0,23144
resnet101,16,0,23247
resnet101,16,0,32160
resnet101,16,0,26992
resnet101,16,0,27260
resnet101,16,0,26761
resnet101,16,0,23459
resnet101,16,0,26969
resnet101,16,0,23691
resnet101,16,0,22065
resnet101,16,0,25526
resnet101,16,0,22388
resnet101,16,0,23496
resnet101,16,0,27785
resnet101,16,0,25062
resnet101,16,0,24118
resnet101,16,0,26486
resnet101,16,0,27352
resnet101,16,0,27050
resnet101,16,0,23163
resnet101,16,0,22971
resnet101,16,0,22320
resnet101,16,0,22838
resnet101,16,0,24885
resnet101,16,0,23809
resnet101,16,0,26261
resnet101,16,0,27158
resnet101,16,0,24537
resnet101,16,0,28004
resnet101,16,0,28509
resnet101,16,0,24525
resnet101,16,0,22236
resnet101,16,0,26861
resnet101,16,0,22933
resnet101,16,0,26529
resnet101,16,0,24882
resnet101,16,0,23856
resnet101,16,0,23958
resnet101,16,0,21741
resnet101,16,0,26147
resnet101,16,0,27444
resnet101,16,0,23907
resnet101,16,0,24174
resnet101,16,0,22350
resnet101,16,0,26811
resnet101,16,0,23398
resnet101,16,0,24490
resnet101,16,0,26087
resnet101,16,0,23386
resnet101,16,0,23487
resnet101,16,0,26619
resnet101,16,0,22518
resnet101,16,0,26048
resnet101,16,0,23637
resnet101,16,0,25833
resnet101,16,0,27524
resnet101,16,0,27777
resnet101,16,0,23805
resnet101,16,0,27033
resnet101,16,0,24473
resnet101,16,0,25489
resnet101,16,0,27527
resnet101,16,0,25826
resnet101,16,0,23393
resnet101,16,0,21879
resnet101,16,0,23570
resnet101,16,0,26419
resnet101,16,0,24040
resnet101,16,0,26737
resnet101,16,0,27850
resnet101,16,0,23379
resnet101,16,0,29174
resnet101,16,0,25054
resnet101,16,0,26194
resnet101,16,0,24378
resnet101,16,0,27229
resnet101,16,0,22412
resnet101,16,0,25411
resnet101,16,0,28177
resnet101,16,0,27658
resnet101,16,0,27667
resnet101,16,0,27403
resnet101,16,0,26549
resnet101,16,0,23532
resnet101,16,0,22914
resnet101,16,0,26229
resnet101,16,0,23791
resnet101,16,0,24040
resnet101,16,0,27779
resnet101,16,0,28512
resnet101,16,0,28137
resnet101,16,0,22520
resnet101,16,0,26348
resnet101,16,0,27016
resnet101,16,0,21855
resnet101,16,0,26555
resnet101,16,0,27358
resnet101,16,0,25814
resnet101,16,0,23922
resnet101,16,0,25814
resnet101,16,0,23593
resnet101,16,0,28478
resnet101,16,0,25408
resnet101,16,0,23467
resnet101,16,0,25719
resnet101,16,0,27234
resnet101,16,0,27686
resnet101,16,0,26450
resnet101,16,0,23250
resnet101,16,0,23788
resnet101,16,0,27117
resnet101,16,0,26279
resnet101,16,0,23594
resnet101,16,0,26140
resnet101,16,0,22748
resnet101,16,0,26402
resnet101,16,0,22770
resnet101,16,0,22595
resnet101,16,0,21883
resnet101,16,0,26509
resnet101,16,0,23318
resnet101,16,0,22657
resnet101,16,0,26322
resnet101,16,0,27557
resnet101,16,0,22811
resnet101,16,0,25647
resnet101,16,0,27738
resnet101,16,0,27991
resnet101,16,0,28542
resnet101,16,0,24205
resnet101,16,0,27992
resnet101,16,0,28479
resnet101,16,0,28289
resnet101,16,0,24021
resnet101,16,0,26368
resnet101,16,0,26333
resnet101,16,0,24068
resnet101,16,0,26182
resnet101,16,0,23528
resnet101,16,0,23418
resnet101,16,0,23482
resnet101,16,0,27833
resnet101,16,0,28155
resnet101,16,0,28838
resnet101,16,0,23625
resnet101,16,0,26094
resnet101,16,0,27397
resnet101,16,0,27450
resnet101,16,0,27277
resnet101,16,0,25023
resnet101,16,0,27227
resnet101,16,0,27337
resnet101,16,0,23498
resnet101,16,0,25516
resnet101,16,0,27444
resnet101,16,0,23747
resnet101,16,0,24022
resnet101,16,0,23392
resnet101,16,0,26214
resnet101,16,0,30677
resnet101,16,0,22581
