model,qos,fcfs,sjf,abacus,fcfs,sjf,abacus
Res50+Res101,60,96.8718560028076,106.04913192749024,58.53161621093746,535,530,555
Res50+Res152,60,108.78522636413581,128.21489227294907,57.084547958374024,314,314,497
Res50+IncepV3,70,97.4152014923095,102.63750061035164,66.61277679443359,660,649,672
Res50+VGG16,40,69.78921081542953,64.76389259338374,40.1640510559082,845,907,914
Res50+VGG19,50,62.3415135192871,66.95977539062501,48.620298614501955,952,934,905
Res50+bert,60,81.1737174987793,91.6780776977539,56.37950134277345,805,730,750
Res101+Res152,60,128.06101303100593,136.57619842529297,58.74344757080078,141,136,330
Res101+IncepV3,75,102.978850402832,119.25215515136719,73.91850784301758,448,437,535
Res101+VGG16,50,82.81082916259767,96.31104804992675,45.52660179138181,604,547,633
Res101+VGG19,50,89.65916046142578,93.01306900024413,47.991523742675746,529,591,593
Res101+bert,60,95.64137603759767,107.28251327514647,55.749653625488264,382,448,559
Res152+IncepV3,70,118.54195228576654,135.20296447753896,68.11482620239258,228,246,404
Res152+VGG16,60,98.88937179565428,111.75324150085449,58.10689369201659,444,401,515
Res152+VGG19,60,103.32022743225099,108.03657974243163,54.54651126861574,398,419,495
Res152+bert,65,109.21169616699216,122.38280242919922,65.04074005126957,323,324,448
IncepV3+VGG16,65,83.29594177246094,90.91655364990237,64.44431030273437,820,774,799
IncepV3+VGG19,65,82.54671829223632,91.94502639770499,69.90339836120609,807,766,804
IncepV3+bert,70,97.81466438293467,104.01799926757812,69.16502876281737,621,547,592
VGG16+VGG19,60,40.18383739471435,42.14357139587402,32.73558258056641,1000,998,964
VGG16+bert,50,77.56174804687501,72.00496658325193,46.69001102447508,799,904,857
VGG19+bert,50,70.63986297607423,75.18632492065429,49.11932945251466,885,888,823
