colocation,FCFS_tail,SJF_tail,EDF_tail,Abacus_tail
Res50Res101,1.0537427093505867,1.3279921829223627,1.145685820007324,0.8435590278625488
Res50Res152,1.1240865865071616,1.246463614908854,1.209546956380208,0.944033081054687
Res50IncepV3,0.9974468994140625,1.2230747848510743,0.8352313339233391,0.6195668933868407
Res50VGG16,0.788859166717529,1.0756092437744134,0.8483225341796873,0.7746949569702144
Res50VGG19,0.9019091133117674,1.1588882446289062,0.9996375457763672,0.8327637184143064
Res50Bert,1.0557121012369792,1.1496632812499996,0.942247817993163,0.72445669148763
Res101Res152,1.1523352012634278,1.2532723522186278,1.1697260732650758,0.9099982862472549
Res101IncepV3,1.1200249735514323,1.241790326944987,1.0339692281087245,0.5061610026041666
Res101VGG16,0.9158959765964081,1.1893771701388889,1.0946412862141925,0.6825671251085069
Res101VGG19,0.9574476652145384,1.3268360662460328,1.1347626209259025,1.0228112602233888
Res101Bert,1.0672225658710186,1.1778810659555288,1.0826937161959134,0.6624139492328349
Res152IncepV3,1.1532065287272133,1.3252127888997403,1.1746424194335938,0.8145394612630207
Res152VGG16,1.0572883219401041,1.2420025451660155,1.1216286997477214,0.9310726155598961
Res152VGG19,1.1233294423421223,1.271256563313802,1.2128695210774738,0.6960032272338867
Res152Bert,1.1460276540120442,1.2326503255208334,1.173547381591797,0.8225656697591145
IncepV3VGG16,1.0599247703552237,1.2090750694274903,0.9777585325241087,0.745355486869812
IncepV3VGG19,1.1170973348617552,1.2813191566467288,0.9671194601058952,0.9752509593963623
IncepV3Bert,1.1996904392242436,1.2559667110443116,1.1410553216934205,0.9036554393768309
VGG16VGG19,1.1313987553914386,1.1712965965270996,1.078583875020345,0.8498290379842125
VGG16Bert,1.0516617024739578,1.213637479146321,1.0153545049031574,0.8204757385253904
VGG19Bert,1.0206889012654612,1.1252026112874354,0.985746574401855,0.8558233896891276
