model,start,end,bs,model,start,end,bs,median,mean,var
resnet50,8,15,1,vgg19,0,6,1,6882.0,6933.62,223.14711649492585
resnet50,8,17,1,vgg19,7,14,1,8617.5,8633.38,90.2523994140876
resnet50,12,17,1,vgg19,16,21,1,4920.0,4951.1,148.88535858169533
resnet50,1,12,1,vgg19,5,21,1,10120.0,10117.7,152.24431023851105
resnet50,2,6,1,vgg19,5,17,1,3793.0,3918.51,486.36688816160176
resnet50,2,13,1,vgg19,8,12,1,10113.0,10137.39,281.9787543415284
resnet50,0,6,1,vgg19,15,19,1,4935.5,5005.74,447.72347760643504
resnet50,4,9,1,vgg19,11,19,1,5052.0,5117.64,297.17175235880006
resnet50,2,12,1,vgg19,15,21,1,9276.5,9357.67,852.7681871997804
resnet50,5,15,1,vgg19,17,21,1,9518.0,9731.12,1200.9926501024056
resnet50,7,11,1,vgg19,17,21,1,4100.5,4136.38,194.28447081534847
resnet50,3,13,1,vgg19,3,19,1,9407.5,9435.79,99.10865703862603
resnet50,1,7,1,vgg19,14,21,1,5577.0,5578.08,102.1104970118156
resnet50,0,5,1,vgg19,10,21,1,4098.0,4108.73,87.61447996764005
resnet50,13,17,1,vgg19,11,18,1,4105.0,4283.49,952.5965304891678
resnet50,11,16,1,vgg19,13,17,1,5006.0,5554.72,1645.9955533354275
resnet50,4,11,1,vgg19,3,18,1,6905.5,7019.06,478.280269716408
resnet50,3,9,1,vgg19,8,15,1,5866.5,5947.82,388.81587879097737
resnet50,8,15,1,vgg19,15,21,1,6994.0,7110.68,537.4158516456321
resnet50,1,17,1,vgg19,5,17,1,14907.0,14924.42,456.92592791392343
resnet50,2,13,1,vgg19,7,21,1,10197.0,10261.43,417.46725033228654
resnet50,1,14,1,vgg19,4,20,1,12039.0,12069.12,436.80985062152615
resnet50,8,14,1,vgg19,5,16,1,5933.0,6000.41,431.2355294963531
resnet50,10,15,1,vgg19,10,20,1,5032.0,5050.1,95.36493066111882
resnet50,3,7,1,vgg19,13,20,1,3890.0,3896.67,69.31999062319613
resnet50,9,16,1,vgg19,0,7,1,6715.5,6761.0,266.48609719833416
resnet50,4,11,1,vgg19,11,19,1,6877.0,6946.3,333.79776811716397
resnet50,12,17,1,vgg19,12,21,1,5019.5,5085.6,381.93735088362337
resnet50,1,6,1,vgg19,6,21,1,4773.0,5039.34,872.4573023363378
resnet50,9,17,1,vgg19,8,17,1,7666.0,7695.5,269.77581433479173
