model,start,end,bs,model,start,end,bs,median,mean,var
resnet152,24,30,1,bert,0,4,1,5924.5,6437.49,1343.8720213993593
resnet152,1,36,1,bert,7,11,1,36356.5,37021.42,4935.113058846778
resnet152,31,48,1,bert,1,6,1,16039.0,17963.21,3626.2778252500175
resnet152,40,46,1,bert,1,10,1,12716.0,12998.74,805.2489133181118
resnet152,30,38,1,bert,3,10,1,11681.5,11757.08,3174.77602258805
resnet152,40,46,1,bert,6,10,1,6834.5,7356.06,1439.3229715390496
resnet152,41,45,1,bert,4,10,1,10084.5,10160.79,394.88338265872875
resnet152,22,35,1,bert,1,9,1,13471.0,15025.88,2607.2836603637897
resnet152,39,49,1,bert,0,9,1,14986.0,15292.39,858.0352777712582
resnet152,28,42,1,bert,0,7,1,12497.5,14195.35,3194.1859882448925
resnet152,40,46,1,bert,2,10,1,13308.5,13398.65,520.2582507755163
resnet152,17,33,1,bert,5,11,1,16294.5,16977.27,3279.2144542710225
resnet152,35,42,1,bert,0,7,1,11701.0,11906.48,736.3450886642757
resnet152,18,34,1,bert,3,7,1,16033.5,17103.89,3815.2406867588315
resnet152,23,47,1,bert,1,8,1,24685.0,25380.14,4126.856651302538
resnet152,10,46,1,bert,1,6,1,35526.5,36756.61,4806.971401818404
resnet152,34,51,1,bert,2,6,1,18524.0,18587.4,3583.7348116176227
resnet152,31,48,1,bert,2,6,1,15193.0,17199.67,3168.2230226264055
resnet152,42,50,1,bert,7,11,1,7477.0,8612.62,2114.769792577906
resnet152,18,35,1,bert,3,11,1,15380.0,17338.72,3193.618859789001
resnet152,35,50,1,bert,2,11,1,15207.5,17289.91,2979.159489168044
resnet152,0,40,1,bert,4,9,1,39500.5,40496.69,4810.488249013815
resnet152,7,28,1,bert,4,11,1,21745.0,22594.19,4233.431857713078
resnet152,35,40,1,bert,1,8,1,11757.5,11863.61,543.6582546968269
resnet152,27,48,1,bert,1,9,1,20314.5,21851.21,4109.325850538017
resnet152,34,43,1,bert,2,7,1,8701.0,9677.25,1898.2770470877006
resnet152,9,45,1,bert,1,8,1,36067.0,37040.42,4443.227554784922
resnet152,32,48,1,bert,5,10,1,14693.0,16796.96,3357.7646282013275
resnet152,47,51,1,bert,7,11,1,6861.0,7113.79,847.1070923442915
resnet152,33,37,1,bert,4,8,1,6788.5,6915.99,598.3005514789369
resnet152,41,51,1,bert,7,11,1,9243.0,10631.79,2386.2753248315666
resnet152,45,49,1,bert,0,8,1,13301.0,13372.73,637.4269347148738
resnet152,44,49,1,bert,1,5,1,6788.0,7046.51,955.046778906667
resnet152,39,46,1,bert,0,4,1,6796.0,7455.82,1779.8507205942863
resnet152,2,43,1,bert,4,8,1,40526.5,42008.69,4854.465440591785
resnet152,40,46,1,bert,4,10,1,10099.0,10338.57,944.464560002121
resnet152,8,32,1,bert,1,9,1,24964.0,25746.46,4282.97284469561
resnet152,37,41,1,bert,6,10,1,6855.0,6986.28,537.0625676771748
resnet152,13,23,1,bert,6,10,1,8903.0,9779.99,1848.5290340971114
resnet152,30,44,1,bert,6,11,1,13571.5,14822.67,2951.8063488481084
resnet152,14,22,1,bert,0,8,1,13330.5,13491.43,613.5647684637703
resnet152,15,40,1,bert,0,11,1,26000.0,26975.01,4719.666442652489
resnet152,31,42,1,bert,1,8,1,11802.0,13034.94,2377.481221040452
resnet152,10,35,1,bert,6,11,1,25948.0,26931.93,4623.32648047918
resnet152,39,51,1,bert,4,10,1,12170.0,13090.56,2717.2512262210867
resnet152,43,51,1,bert,4,8,1,7564.5,8493.34,1890.7135595853754
resnet152,40,50,1,bert,7,11,1,9209.5,10434.0,2449.936460400555
resnet152,23,27,1,bert,7,11,1,6827.0,6984.41,652.2753574220017
resnet152,45,51,1,bert,2,11,1,14967.5,15020.33,378.654672624015
resnet152,0,26,1,bert,2,7,1,26007.0,27014.74,4334.233866832754
resnet152,19,23,1,bert,6,11,1,8456.5,8649.37,702.5192901977853
resnet152,5,13,1,bert,0,4,1,7211.5,7990.13,1928.319759038941
resnet152,37,49,1,bert,4,9,1,11384.5,13308.34,3074.184806481224
resnet152,43,49,1,bert,1,9,1,13373.5,13506.16,527.9702968917853
resnet152,34,46,1,bert,2,6,1,11080.0,12671.21,2742.2808145592967
resnet152,44,48,1,bert,6,10,1,6842.5,7007.96,696.4132238836365
resnet152,20,30,1,bert,4,11,1,11814.0,12710.21,1707.0924128177714
resnet152,44,49,1,bert,5,10,1,8463.0,8618.47,510.03643899235277
resnet152,10,43,1,bert,3,7,1,33115.5,34073.18,4736.685875968556
resnet152,31,42,1,bert,6,10,1,10509.0,11373.84,2221.411527475267
resnet152,26,33,1,bert,0,9,1,14995.0,15069.59,443.43556679634986
resnet152,46,50,1,bert,0,5,1,8445.0,8582.71,605.1662630219896
resnet152,12,32,1,bert,2,10,1,21483.0,22004.41,4193.655365179642
resnet152,3,48,1,bert,4,9,1,43666.0,45418.91,4810.114774295931
resnet152,1,22,1,bert,2,7,1,22308.5,22723.24,4443.424454449519
resnet152,46,50,1,bert,2,9,1,11919.0,12060.02,740.7515640212987
resnet152,45,51,1,bert,5,10,1,8701.5,9002.64,1002.9389863795305
resnet152,36,51,1,bert,6,10,1,15575.5,16973.58,3839.7856246931283
resnet152,22,41,1,bert,2,7,1,17990.0,20134.9,3955.1186695218134
