model,start,end,bs,model,start,end,bs,median,mean,var
inception_v3,4,10,1,vgg16,5,18,1,14863.5,14911.02,348.47436003241336
inception_v3,1,9,1,vgg16,7,14,1,16681.0,16732.43,414.99130725835687
inception_v3,8,13,1,vgg16,11,18,1,13452.5,13488.95,483.618328333408
inception_v3,9,13,1,vgg16,13,17,1,10423.5,10440.29,98.0743896233874
inception_v3,1,7,1,vgg16,4,17,1,11049.5,11070.79,141.4876881569559
inception_v3,9,13,1,vgg16,5,16,1,10416.5,10423.17,73.35108110996048
inception_v3,2,12,1,vgg16,1,10,1,23436.0,23598.59,456.08784449928066
inception_v3,4,11,1,vgg16,3,11,1,16578.5,16646.86,177.19842098619276
inception_v3,5,11,1,vgg16,9,14,1,14680.0,14735.45,378.70876343174314
inception_v3,7,13,1,vgg16,4,8,1,15972.5,16001.21,92.96798319851841
inception_v3,1,5,1,vgg16,13,18,1,7032.0,7080.98,349.4163413465375
inception_v3,1,6,1,vgg16,8,18,1,8278.5,8306.35,156.2209573008692
inception_v3,0,4,1,vgg16,7,17,1,5834.0,5842.39,73.21200652898403
inception_v3,1,9,1,vgg16,7,17,1,16547.0,16640.69,193.98457129369854
inception_v3,3,13,1,vgg16,14,18,1,24016.0,24127.51,377.2329915317588
inception_v3,1,12,1,vgg16,4,9,1,24070.0,24151.05,468.56769788366756
inception_v3,5,13,1,vgg16,5,18,1,19928.5,20122.71,1055.4045887241537
inception_v3,9,13,1,vgg16,7,14,1,10452.5,10469.23,62.601254779756616
inception_v3,0,10,1,vgg16,7,16,1,20251.5,20419.55,394.1873507610309
inception_v3,3,11,1,vgg16,0,6,1,18659.0,18807.62,255.06174860217672
inception_v3,7,11,1,vgg16,13,18,1,10674.5,10682.79,60.33527906623122
inception_v3,8,12,1,vgg16,8,15,1,10579.0,10655.69,357.0171899222781
inception_v3,1,6,1,vgg16,2,14,1,8333.0,8355.81,94.0296437300493
inception_v3,4,12,1,vgg16,3,15,1,19263.0,19382.89,435.8167251265146
inception_v3,9,13,1,vgg16,6,11,1,10453.0,10478.32,107.03717858762909
inception_v3,0,8,1,vgg16,3,7,1,14601.5,14653.04,162.4040590625739
inception_v3,4,13,1,vgg16,2,12,1,21953.5,22018.09,394.8032698699442
inception_v3,3,7,1,vgg16,0,8,1,8430.0,8467.23,102.93404247380943
inception_v3,7,13,1,vgg16,14,18,1,16020.0,16067.45,225.45777320819968
inception_v3,3,10,1,vgg16,1,6,1,16927.0,17033.05,233.74286620130252
inception_v3,3,11,1,vgg16,6,14,1,18749.0,18874.0,414.6801900260006
inception_v3,2,11,1,vgg16,3,9,1,20802.0,20932.96,284.0455217038283
inception_v3,7,13,1,vgg16,7,17,1,16043.0,16093.85,347.9029857589613
inception_v3,0,9,1,vgg16,5,17,1,17395.0,17466.66,188.05388695796745
inception_v3,9,13,1,vgg16,14,18,1,10445.0,10450.3,77.87470706204935
inception_v3,7,12,1,vgg16,10,14,1,13329.0,13380.69,351.25448595000177
inception_v3,2,8,1,vgg16,3,7,1,13303.5,13354.11,160.30601329956403
inception_v3,5,12,1,vgg16,0,14,1,17307.5,17321.12,79.59651751176052
inception_v3,9,13,1,vgg16,1,17,1,10421.0,10457.24,281.81253059436517
