model,start,end,bs,model,start,end,bs,median,mean,var
resnet50,1,16,1,inception_v3,3,7,1,14276.0,15812.58,3232.114729337435
resnet50,3,17,1,inception_v3,9,13,1,13260.5,13470.28,1229.3971699983697
resnet50,10,14,1,inception_v3,6,11,1,13320.5,13330.99,57.87927003686208
resnet50,8,16,1,inception_v3,8,13,1,13237.0,13486.96,1000.3250463724278
resnet50,8,15,1,inception_v3,8,12,1,10578.5,11162.12,1534.3746887901925
resnet50,3,8,1,inception_v3,5,12,1,17201.0,17328.41,472.61316306256225
resnet50,12,17,1,inception_v3,8,12,1,10584.5,10730.83,722.5280209791174
resnet50,8,17,1,inception_v3,0,8,1,14504.0,14713.04,740.8678413860329
resnet50,4,11,1,inception_v3,4,8,1,9165.0,9680.23,1553.7949147490476
resnet50,12,16,1,inception_v3,3,8,1,11168.5,11270.29,428.01409544546544
resnet50,0,16,1,inception_v3,3,11,1,18660.5,19472.88,1743.4456646537624
resnet50,0,6,1,inception_v3,8,12,1,10535.5,10577.29,227.26224037441855
resnet50,9,13,1,inception_v3,3,7,1,8378.0,8569.68,933.0575424913513
resnet50,6,15,1,inception_v3,5,11,1,14583.5,14818.51,1119.699392649652
resnet50,12,16,1,inception_v3,2,13,1,25943.5,26169.96,1010.5260305405299
resnet50,4,11,1,inception_v3,1,12,1,23845.5,23948.04,487.14905152324786
resnet50,4,8,1,inception_v3,1,11,1,21223.5,21360.37,591.2417382932297
resnet50,10,17,1,inception_v3,2,10,1,18964.5,19167.95,582.2401802521018
resnet50,12,17,1,inception_v3,8,12,1,10653.0,10689.58,284.60306323017676
resnet50,10,14,1,inception_v3,3,8,1,11272.0,11314.84,317.2219324069507
resnet50,7,14,1,inception_v3,1,13,1,26604.5,26699.02,546.945828761862
resnet50,11,16,1,inception_v3,5,10,1,12866.0,12949.23,550.6531005088412
resnet50,5,11,1,inception_v3,7,11,1,10726.0,10843.03,799.8543299251432
resnet50,12,17,1,inception_v3,8,12,1,10662.5,10797.05,376.61944652394146
resnet50,0,15,1,inception_v3,4,8,1,13432.5,13495.95,578.6336211282576
resnet50,9,13,1,inception_v3,0,13,1,27136.0,27534.62,1744.9782106376
resnet50,1,9,1,inception_v3,6,12,1,16109.5,16486.86,1376.243852084361
resnet50,11,17,1,inception_v3,1,13,1,26580.0,26629.68,348.0278689990214
resnet50,7,12,1,inception_v3,1,7,1,11062.0,11190.82,466.8887529165808
resnet50,2,17,1,inception_v3,2,7,1,14073.0,15172.38,2568.998286414376
resnet50,1,12,1,inception_v3,8,12,1,10625.0,11117.73,1460.062970251626
resnet50,2,6,1,inception_v3,5,10,1,12820.0,12868.78,363.4434916187109
resnet50,7,15,1,inception_v3,5,10,1,12835.0,13101.99,1121.017238895103
resnet50,10,16,1,inception_v3,8,13,1,13309.0,13371.17,280.5743058442808
resnet50,12,16,1,inception_v3,5,11,1,14610.0,14731.56,552.2530818383906
resnet50,7,12,1,inception_v3,7,12,1,13416.0,13477.98,380.71390781005096
resnet50,4,12,1,inception_v3,3,10,1,16913.0,17136.5,642.2116395706325
resnet50,11,17,1,inception_v3,6,10,1,11611.0,11748.8,616.1305381167209
resnet50,6,11,1,inception_v3,1,12,1,23889.5,24038.54,882.9219718638788
resnet50,13,17,1,inception_v3,1,9,1,16556.5,16674.35,571.6531356513319
resnet50,5,10,1,inception_v3,7,13,1,16041.0,16112.19,404.5735951591502
resnet50,3,10,1,inception_v3,5,11,1,14641.5,14769.19,398.09432789227225
resnet50,7,17,1,inception_v3,4,10,1,14892.0,15063.61,775.4596816727483
resnet50,7,11,1,inception_v3,1,11,1,21227.0,21337.0,492.65915194990544
resnet50,4,16,1,inception_v3,3,12,1,21373.5,21491.54,592.9743741511938
resnet50,9,13,1,inception_v3,6,11,1,13384.5,13393.26,97.33125089096514
resnet50,4,14,1,inception_v3,2,10,1,18921.5,18946.26,223.89290386253873
resnet50,10,16,1,inception_v3,2,6,1,7816.5,8334.57,1416.2047821907677
resnet50,1,6,1,inception_v3,2,8,1,13257.5,13279.35,187.43342151281345
resnet50,4,11,1,inception_v3,2,8,1,13270.0,13480.72,733.405155149594
resnet50,10,15,1,inception_v3,7,13,1,16043.0,16072.16,351.13945150039746
resnet50,7,15,1,inception_v3,1,7,1,11052.5,11541.03,1519.5430790537002
resnet50,7,16,1,inception_v3,1,7,1,11113.5,12023.57,2068.663922704701
resnet50,6,15,1,inception_v3,3,12,1,21415.0,21592.12,873.7446111994053
resnet50,9,16,1,inception_v3,6,10,1,11606.0,11699.83,590.8435335179696
resnet50,13,17,1,inception_v3,5,12,1,17320.0,17376.78,394.73987840095407
resnet50,5,11,1,inception_v3,9,13,1,10504.0,10744.85,856.7840961992699
resnet50,0,14,1,inception_v3,6,11,1,13477.5,14040.96,1830.4265290909657
resnet50,8,14,1,inception_v3,7,13,1,16080.5,16392.24,1497.839484858107
resnet50,0,8,1,inception_v3,7,11,1,10716.5,10928.2,790.9881667888591
resnet50,13,17,1,inception_v3,2,7,1,10487.5,10633.77,680.1419536390915
resnet50,10,16,1,inception_v3,5,10,1,12861.5,12902.24,341.32421888872756
resnet50,10,16,1,inception_v3,3,8,1,11261.5,11286.86,321.9163562169528
resnet50,11,17,1,inception_v3,5,11,1,14663.0,14692.68,264.13193218541375
resnet50,11,16,1,inception_v3,1,7,1,11039.0,11125.45,447.54334706260573
resnet50,0,10,1,inception_v3,3,11,1,18730.0,18778.67,335.2810777541733
resnet50,2,16,1,inception_v3,4,11,1,16764.0,17167.95,1310.919977534861
resnet50,3,17,1,inception_v3,0,9,1,17439.5,18073.1,1621.5880087124474
resnet50,11,15,1,inception_v3,9,13,1,10497.0,10570.11,384.32733171087375
resnet50,13,17,1,inception_v3,3,9,1,14022.5,14076.75,366.05257477581
resnet50,12,16,1,inception_v3,6,13,1,18681.0,18772.91,662.0255598539984
resnet50,12,16,1,inception_v3,5,13,1,19932.0,20003.11,429.22434448665655
resnet50,2,16,1,inception_v3,9,13,1,13287.0,14386.11,2251.324916110511
resnet50,6,13,1,inception_v3,7,11,1,10753.0,10812.57,440.7689475223952
resnet50,0,12,1,inception_v3,1,13,1,26607.5,26635.4,221.2474632622937
resnet50,11,17,1,inception_v3,9,13,1,10493.0,10698.02,808.0682889459281
resnet50,0,8,1,inception_v3,2,10,1,18923.5,18987.98,355.6895832042316
resnet50,3,15,1,inception_v3,7,11,1,11550.5,11704.55,1044.3459903212154
resnet50,4,9,1,inception_v3,1,9,1,16585.0,16665.39,403.49867149719336
resnet50,2,7,1,inception_v3,5,10,1,12841.0,12892.02,208.22607809782136
resnet50,13,17,1,inception_v3,6,12,1,16047.0,16120.48,406.03370500489245
resnet50,7,11,1,inception_v3,2,11,1,20696.0,20755.64,330.8106564184412
resnet50,10,16,1,inception_v3,1,12,1,23894.5,23984.96,418.2550877156189
resnet50,13,17,1,inception_v3,4,11,1,16661.5,16723.88,348.25959512983985
resnet50,3,14,1,inception_v3,2,10,1,18950.5,19012.2,323.5961062806535
resnet50,10,17,1,inception_v3,6,12,1,16728.5,16690.04,1008.6657218325604
resnet50,6,10,1,inception_v3,8,13,1,13790.5,13730.73,222.01202017007998
resnet50,6,15,1,inception_v3,6,12,1,16827.5,16909.22,595.1311213505811
resnet50,4,8,1,inception_v3,3,10,1,17366.0,17205.92,312.93640504102433
resnet50,12,17,1,inception_v3,4,11,1,16618.0,16809.41,607.1673261136505
resnet50,6,15,1,inception_v3,7,11,1,11335.5,11832.78,1916.25077993461
resnet50,6,17,1,inception_v3,1,8,1,14015.0,14477.53,1204.5552910099227
resnet50,3,8,1,inception_v3,2,8,1,13762.5,13782.54,351.38299389697283
resnet50,11,17,1,inception_v3,5,11,1,15211.0,15239.77,414.53908995413207
resnet50,1,11,1,inception_v3,8,12,1,11391.0,12247.56,1926.5597593638252
resnet50,11,15,1,inception_v3,3,11,1,19114.5,19041.83,497.59463532075995
resnet50,2,7,1,inception_v3,7,13,1,16017.5,16011.09,91.86948296360441
resnet50,3,17,1,inception_v3,1,10,1,19593.5,20296.07,1455.108217659429
resnet50,0,17,1,inception_v3,6,13,1,19883.5,19834.83,1209.053423592192
resnet50,13,17,1,inception_v3,4,10,1,14841.0,14883.84,229.37614174102762
resnet50,2,14,1,inception_v3,2,8,1,13357.0,14665.34,2460.5827936486917
resnet50,3,17,1,inception_v3,3,11,1,18743.5,18874.0,662.4066273823051
resnet50,0,13,1,inception_v3,6,13,1,18747.0,18859.95,570.3244230260528
resnet50,10,17,1,inception_v3,3,11,1,18766.0,18965.63,447.10606470948255
resnet50,9,16,1,inception_v3,2,11,1,20719.5,20787.41,444.5104744547647
resnet50,1,12,1,inception_v3,6,13,1,18730.0,18909.13,626.7420626541672
resnet50,6,10,1,inception_v3,3,13,1,23967.5,24003.39,310.79938529540243
resnet50,10,17,1,inception_v3,6,12,1,15984.5,16058.0,435.37305842231444
resnet50,9,14,1,inception_v3,9,13,1,10924.5,10897.39,372.1369343400357
resnet50,13,17,1,inception_v3,1,5,1,7508.0,7555.64,334.7546420887991
resnet50,9,16,1,inception_v3,0,9,1,17430.5,17613.33,440.0345453484305
resnet50,2,16,1,inception_v3,2,12,1,23421.5,23561.95,705.1087770691838
resnet50,9,13,1,inception_v3,0,6,1,9106.5,9152.71,315.68653107156786
resnet50,10,15,1,inception_v3,2,10,1,18916.0,18958.67,335.83886180726614
resnet50,0,10,1,inception_v3,1,8,1,13882.5,14276.24,1102.9148482090538
resnet50,2,9,1,inception_v3,8,12,1,10603.5,10755.31,628.9460500710693
resnet50,9,17,1,inception_v3,5,11,1,14653.5,14755.55,539.9433002640185
resnet50,10,16,1,inception_v3,8,12,1,10586.5,10675.39,454.6988430818799
resnet50,10,14,1,inception_v3,2,7,1,10487.5,10593.38,526.0917748834322
resnet50,0,4,1,inception_v3,7,13,1,16065.5,16252.89,1158.460382533645
resnet50,12,16,1,inception_v3,2,10,1,18907.0,18973.16,304.94208368147554
resnet50,11,16,1,inception_v3,9,13,1,10476.0,10581.18,518.634849966718
resnet50,7,14,1,inception_v3,0,6,1,9255.5,10115.35,1941.7576232630065
resnet50,4,13,1,inception_v3,2,8,1,13305.5,13597.52,1160.5020161981624
resnet50,4,11,1,inception_v3,2,12,1,23373.5,23427.94,398.6063677363923
resnet50,8,15,1,inception_v3,0,4,1,7169.0,7825.17,1640.0529872842524
resnet50,9,16,1,inception_v3,5,10,1,12826.0,13018.07,944.0746183962368
resnet50,11,15,1,inception_v3,9,13,1,10461.0,10474.43,58.99580578312326
resnet50,13,17,1,inception_v3,4,9,1,12004.5,12041.23,383.96895330221685
resnet50,2,15,1,inception_v3,3,7,1,12424.0,13203.96,1933.5665383947874
resnet50,0,14,1,inception_v3,3,9,1,14133.5,15086.82,2005.3399481384695
resnet50,9,17,1,inception_v3,6,11,1,13426.0,13587.36,711.691106028451
resnet50,4,16,1,inception_v3,7,12,1,13438.0,13957.37,1692.991090673545
resnet50,6,14,1,inception_v3,3,11,1,18699.0,18742.51,266.61299649491957
resnet50,12,16,1,inception_v3,0,12,1,24692.5,24767.97,384.8227762230297
resnet50,2,11,1,inception_v3,4,10,1,14889.0,15039.33,439.38056522791265
resnet50,1,15,1,inception_v3,2,8,1,13298.0,13505.21,895.3221464366891
resnet50,1,11,1,inception_v3,9,13,1,10584.0,11592.43,2098.332925228978
resnet50,1,5,1,inception_v3,5,11,1,14626.0,14658.31,216.2699560734223
resnet50,2,16,1,inception_v3,3,12,1,21392.5,21512.67,749.2490381041539
resnet50,11,16,1,inception_v3,7,13,1,16044.5,16106.33,351.978495223785
resnet50,7,14,1,inception_v3,1,5,1,7185.0,8066.93,1926.1491959606867
resnet50,7,11,1,inception_v3,0,7,1,11829.0,11921.29,368.118847520743
resnet50,0,6,1,inception_v3,9,13,1,10512.5,10602.8,389.35926854256337
resnet50,5,17,1,inception_v3,0,5,1,11484.0,11607.76,910.5074861855886
resnet50,5,11,1,inception_v3,2,13,1,26025.0,26089.57,331.9900978945005
resnet50,7,12,1,inception_v3,4,11,1,16664.5,16731.52,361.2506741862221
resnet50,5,17,1,inception_v3,1,9,1,16631.5,16817.7,837.268648642716
resnet50,9,13,1,inception_v3,8,12,1,10853.5,10801.74,164.9331149284461
resnet50,7,13,1,inception_v3,1,5,1,7134.5,7613.9,1582.936413757672
resnet50,5,17,1,inception_v3,7,13,1,16063.5,16315.32,931.2464215233258
resnet50,2,9,1,inception_v3,1,13,1,26563.0,26591.8,134.70664423108462
resnet50,8,17,1,inception_v3,6,10,1,11662.5,12522.4,1940.0114484198282
resnet50,5,16,1,inception_v3,0,11,1,22040.0,22088.79,413.02969130560086
resnet50,12,17,1,inception_v3,7,11,1,11017.0,10981.51,470.62510547143575
resnet50,11,17,1,inception_v3,8,13,1,13263.5,13321.66,358.75279009367995
resnet50,5,17,1,inception_v3,9,13,1,11549.5,12699.94,2724.2595647992134
resnet50,12,17,1,inception_v3,8,12,1,10605.0,10681.79,439.59793664210935
resnet50,7,17,1,inception_v3,4,9,1,12024.5,12435.72,1388.675023754658
resnet50,6,16,1,inception_v3,1,10,1,19472.5,19506.84,238.93826483006023
resnet50,6,10,1,inception_v3,9,13,1,10474.0,10509.83,297.1272809756788
resnet50,0,5,1,inception_v3,0,5,1,7870.0,7936.0,220.32144698145026
resnet50,3,17,1,inception_v3,8,12,1,13324.0,13680.36,1154.6194569640684
resnet50,11,15,1,inception_v3,3,9,1,14001.5,14079.48,479.60257463862735
resnet50,8,17,1,inception_v3,3,12,1,21343.0,21454.27,538.3298590083965
resnet50,13,17,1,inception_v3,9,13,1,10487.5,10502.92,66.24781958676074
resnet50,12,17,1,inception_v3,9,13,1,10494.5,10517.61,235.35194475508376
resnet50,8,12,1,inception_v3,2,9,1,16006.0,16050.42,415.4187328467507
resnet50,9,13,1,inception_v3,6,11,1,13432.0,13530.79,289.7261222258014
resnet50,5,11,1,inception_v3,7,12,1,13407.5,13568.25,639.2750327519448
resnet50,8,15,1,inception_v3,2,8,1,13261.0,13382.48,571.6745836575211
resnet50,12,16,1,inception_v3,1,13,1,26537.5,26803.32,1171.2553682267587
resnet50,3,8,1,inception_v3,8,12,1,10618.5,10693.45,374.5024532629927
resnet50,12,17,1,inception_v3,9,13,1,10487.5,10579.47,435.1888200540082
resnet50,12,17,1,inception_v3,2,11,1,20731.5,20868.58,501.5977308561114
resnet50,12,17,1,inception_v3,7,13,1,16059.0,16102.9,159.2272903744832
resnet50,6,17,1,inception_v3,9,13,1,10648.5,12033.85,2819.1819571464343
resnet50,2,16,1,inception_v3,4,11,1,16737.0,17113.82,1314.1535175161237
resnet50,4,11,1,inception_v3,9,13,1,10493.0,10708.86,899.5292660052812
resnet50,11,15,1,inception_v3,2,12,1,23344.0,23422.4,432.3354947260287
resnet50,8,17,1,inception_v3,8,13,1,13317.5,13765.3,1281.9800505468095
resnet50,2,6,1,inception_v3,0,5,1,7871.5,7912.55,192.4252777053992
resnet50,6,12,1,inception_v3,5,13,1,19992.5,20039.4,417.73829127816373
resnet50,13,17,1,inception_v3,9,13,1,10485.5,10522.67,273.4397942875177
resnet50,13,17,1,inception_v3,4,12,1,19326.0,19384.14,395.59871132247133
resnet50,5,10,1,inception_v3,3,7,1,8477.5,8522.37,272.9064182096127
resnet50,8,13,1,inception_v3,3,12,1,21368.5,21403.64,312.36345881040563
resnet50,4,15,1,inception_v3,7,11,1,10815.0,11175.01,964.1969144837584
resnet50,4,14,1,inception_v3,5,10,1,12910.5,13493.36,1595.722109391231
resnet50,3,10,1,inception_v3,0,9,1,17345.0,17363.53,88.74902309321493
resnet50,1,15,1,inception_v3,5,10,1,13229.0,13442.51,1181.2972402829018
resnet50,4,10,1,inception_v3,6,13,1,18694.0,18731.79,296.3414009213023
resnet50,5,15,1,inception_v3,8,12,1,10699.0,11702.0,2295.9321941207236
resnet50,1,7,1,inception_v3,5,10,1,12829.5,12852.67,186.04499751404225
resnet50,9,16,1,inception_v3,2,9,1,16064.5,16130.9,370.42838714115845
resnet50,0,5,1,inception_v3,3,10,1,16856.0,16870.5,71.1589066807522
resnet50,7,14,1,inception_v3,6,13,1,18727.5,18769.44,321.462480547886
resnet50,11,16,1,inception_v3,4,12,1,19351.0,19397.87,388.187626155188
resnet50,4,11,1,inception_v3,7,12,1,13446.0,13570.69,535.6323682340342
resnet50,9,16,1,inception_v3,9,13,1,10466.0,10916.02,1476.1478786354708
resnet50,4,14,1,inception_v3,2,9,2,16213.0,16418.98,806.9003033832618
resnet50,3,8,1,inception_v3,7,11,2,10933.0,10944.88,91.82704176875133
resnet50,6,16,1,inception_v3,0,4,2,9738.0,9813.18,601.7399833815266
resnet50,0,15,1,inception_v3,6,10,2,13537.0,15099.79,2931.9497993485497
resnet50,11,16,1,inception_v3,1,8,2,13711.5,13771.09,381.73496289965374
resnet50,6,13,1,inception_v3,6,10,2,11922.5,12112.82,765.0054690000587
resnet50,11,17,1,inception_v3,3,12,2,21471.0,21519.38,275.5164525032942
resnet50,4,10,1,inception_v3,0,12,2,25319.5,25268.05,509.8495341765058
resnet50,9,13,1,inception_v3,7,12,2,13547.5,13679.06,248.3569535970354
resnet50,6,12,1,inception_v3,8,12,2,10581.5,10596.46,58.21759527840359
resnet50,7,17,1,inception_v3,3,7,2,9784.0,10409.93,1775.610718907723
resnet50,8,12,1,inception_v3,7,12,2,13511.5,13522.9,76.20492110093677
resnet50,0,9,1,inception_v3,5,11,2,14908.5,15005.06,477.1001115070086
resnet50,3,12,1,inception_v3,5,13,2,20678.0,20698.12,528.7215388084734
