model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,35,4,0,resnet152,0,34,4,0,vgg19,0,17,4,0,bert,0,6,4,8,21603.0,21679.214285714286,3379.097368456583
resnet101,0,35,4,0,resnet152,35,52,4,0,vgg19,11,11,4,0,bert,5,12,4,16,16948.0,18471.20408163265,2931.188610894291
resnet101,13,29,4,0,resnet152,50,52,4,0,vgg19,13,22,4,0,bert,0,12,4,16,14090.5,13980.724489795919,1192.7035896087325
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,3,4,0,bert,11,12,4,64,27453.5,28796.448979591838,4468.5822002118275
resnet101,0,27,4,0,resnet152,5,19,4,0,vgg19,0,22,4,0,bert,0,12,4,64,15738.0,15872.285714285714,2517.2516070232678
resnet101,18,35,4,0,resnet152,0,52,4,0,vgg19,20,21,4,0,bert,3,12,4,32,25447.5,27915.551020408162,3410.4965708297987
resnet101,0,35,4,0,resnet152,0,14,4,0,vgg19,0,22,4,0,bert,0,12,4,64,16936.0,17964.122448979593,1558.9157028780346
resnet101,10,30,4,0,resnet152,47,50,4,0,vgg19,0,22,4,0,bert,5,12,4,32,10184.0,11040.489795918367,1736.596267655396
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,17,22,4,0,bert,1,12,4,16,24807.0,26152.30612244898,2341.9720776327576
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,12,4,64,24510.5,24759.030612244896,1004.7165043757026
resnet101,0,3,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,11,4,8,24259.5,24935.979591836734,2129.3920468949404
resnet101,0,27,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,12,4,32,24353.0,24433.48979591837,269.881805002462
resnet101,19,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,8,12,4,8,24421.5,24418.622448979593,225.51593976453208
resnet101,0,33,4,0,resnet152,0,52,4,0,vgg19,0,4,4,0,bert,0,1,4,32,24629.0,24666.969387755104,349.3631364407338
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,12,4,32,24623.0,24709.26530612245,453.8611347236745
resnet101,24,26,4,0,resnet152,11,29,4,0,vgg19,0,22,4,0,bert,2,5,4,8,8984.0,9103.326530612245,520.1302971667969
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,12,4,16,27768.5,27442.877551020407,2794.9278705062816
resnet101,11,35,4,0,resnet152,0,14,4,0,vgg19,0,7,4,0,bert,0,11,4,16,13614.5,13246.295918367347,1542.5443744431461
resnet101,0,35,4,0,resnet152,48,52,4,0,vgg19,0,22,4,0,bert,2,12,4,16,18534.5,18241.11224489796,765.5766651735316
resnet101,0,35,4,0,resnet152,44,44,4,0,vgg19,0,22,4,0,bert,0,12,4,32,18706.0,18770.551020408162,339.28785329999357
resnet101,0,15,4,0,resnet152,0,39,4,0,vgg19,0,22,4,0,bert,0,5,4,8,18738.0,19016.01020408163,1001.6181855836061
resnet101,21,22,4,0,resnet152,18,23,4,0,vgg19,2,14,4,0,bert,0,12,4,64,11236.0,11312.377551020409,280.74261999154453
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,12,4,8,26101.0,26643.755102040817,2133.133845132433
resnet101,0,35,4,0,resnet152,12,52,4,0,vgg19,12,22,4,0,bert,0,12,4,16,19876.5,21012.5,2621.4222664385056
resnet101,16,35,4,0,resnet152,0,14,4,0,vgg19,0,22,4,0,bert,10,10,4,8,10759.5,10182.969387755102,1008.82587294341
resnet101,4,26,4,0,resnet152,0,52,4,0,vgg19,0,18,4,0,bert,0,1,4,32,24124.0,24351.581632653062,1072.9019195855676
resnet101,0,35,4,0,resnet152,0,14,4,0,vgg19,13,22,4,0,bert,11,12,4,32,16427.0,17412.020408163266,1714.873286088103
resnet101,0,35,4,0,resnet152,0,11,4,0,vgg19,0,18,4,0,bert,0,12,4,32,16520.5,17250.530612244896,1821.8568527521677
resnet101,5,35,4,0,resnet152,18,21,4,0,vgg19,10,22,4,0,bert,0,12,4,32,14220.5,14726.102040816326,1189.795707809692
resnet101,14,35,4,0,resnet152,29,52,4,0,vgg19,12,22,4,0,bert,0,2,4,16,11208.0,12333.65306122449,2061.1468231477984
resnet101,0,35,4,0,resnet152,2,52,4,0,vgg19,6,22,4,0,bert,0,12,4,8,23727.5,23800.85714285714,283.1937391213849
resnet101,0,9,4,0,resnet152,0,20,4,0,vgg19,0,22,4,0,bert,0,6,4,16,9814.0,9972.30612244898,515.2028609409107
resnet101,0,35,4,0,resnet152,0,34,4,0,vgg19,0,22,4,0,bert,0,9,4,64,18992.0,19542.948979591838,1560.1816506776393
resnet101,10,34,4,0,resnet152,0,52,4,0,vgg19,16,22,4,0,bert,9,12,4,16,26852.0,26061.163265306124,1323.9607144263912
resnet101,8,35,4,0,resnet152,43,52,4,0,vgg19,2,6,4,0,bert,0,12,4,16,13139.5,14134.785714285714,1552.525534641632
resnet101,28,35,4,0,resnet152,0,52,4,0,vgg19,0,12,4,0,bert,4,12,4,8,24183.5,25483.70408163265,2470.6326266156257
resnet101,0,35,4,0,resnet152,36,52,4,0,vgg19,0,7,4,0,bert,5,12,4,8,16535.0,17471.020408163266,1591.8611042090672
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,5,22,4,0,bert,3,12,4,16,24248.5,25039.744897959183,1941.381873249076
resnet101,24,35,4,0,resnet152,0,26,4,0,vgg19,12,21,4,0,bert,0,8,4,16,12509.0,12505.479591836734,86.77654032544632
resnet101,0,8,4,0,resnet152,0,24,4,0,vgg19,3,22,4,0,bert,0,2,4,16,11572.5,11614.326530612245,341.3176680463764
resnet101,0,19,4,0,resnet152,37,52,4,0,vgg19,13,15,4,0,bert,0,5,4,8,11236.5,11007.918367346938,1147.2547238949924
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,19,22,4,0,bert,0,12,4,8,24778.5,25277.051020408162,1877.5858434270679
resnet101,0,35,4,0,resnet152,50,52,4,0,vgg19,0,22,4,0,bert,0,12,4,32,16524.0,17219.275510204083,1436.9007874845497
resnet101,0,15,4,0,resnet152,0,0,4,0,vgg19,0,22,4,0,bert,0,12,4,8,11538.5,11647.755102040815,341.1506059548435
resnet101,0,35,4,0,resnet152,0,37,4,0,vgg19,0,10,4,0,bert,0,12,4,16,18501.5,19846.418367346938,2673.377546969794
resnet101,13,20,4,0,resnet152,0,52,4,0,vgg19,0,8,4,0,bert,11,11,4,32,23917.0,23917.755102040817,260.8501822426237
resnet101,25,35,4,0,resnet152,21,36,4,0,vgg19,0,22,4,0,bert,0,2,4,64,7546.5,8105.693877551021,1173.8487491499418
resnet101,30,35,4,0,resnet152,0,52,4,0,vgg19,0,6,4,0,bert,0,10,4,32,24200.0,24293.377551020407,335.17666725408185
resnet101,33,33,4,0,resnet152,31,40,4,0,vgg19,0,13,4,0,bert,0,12,8,16,11306.5,11968.877551020409,1096.4116449629348
resnet101,17,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,1,12,8,8,24157.0,25484.69387755102,2399.839371360063
resnet101,0,35,4,0,resnet152,26,52,4,0,vgg19,0,22,4,0,bert,3,12,8,16,16878.5,18160.04081632653,1857.1346368959137
resnet101,0,35,4,0,resnet152,0,12,4,0,vgg19,12,15,4,0,bert,0,12,8,32,16431.0,16479.367346938776,287.7710040475105
resnet101,16,29,4,0,resnet152,1,10,4,0,vgg19,19,22,4,0,bert,0,12,8,8,11548.0,11667.438775510203,550.5710035272755
resnet101,0,3,4,0,resnet152,44,52,4,0,vgg19,0,5,4,0,bert,0,12,8,64,10766.5,10780.051020408164,161.59930114827793
resnet101,14,20,4,0,resnet152,0,52,4,0,vgg19,14,22,4,0,bert,0,12,8,32,24267.0,25203.928571428572,2145.3776521648033
resnet101,25,35,4,0,resnet152,0,52,4,0,vgg19,0,2,4,0,bert,0,12,8,16,27059.0,26259.020408163266,1475.8535336017364
resnet101,30,32,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,7,8,64,24024.0,24043.744897959183,199.27973934844832
resnet101,0,35,4,0,resnet152,50,52,4,0,vgg19,0,22,4,0,bert,0,12,8,16,16330.0,16987.336734693876,1454.1582805792127
resnet101,28,32,4,0,resnet152,0,52,4,0,vgg19,0,4,4,0,bert,0,8,8,64,24001.0,24786.48979591837,2165.226543479863
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,12,8,16,24440.0,25196.48979591837,2043.4317286094276
resnet101,0,3,4,0,resnet152,23,38,4,0,vgg19,0,13,4,0,bert,4,12,8,8,8010.5,9847.15306122449,3247.0895267823475
resnet101,21,33,4,0,resnet152,0,52,4,0,vgg19,0,6,4,0,bert,5,6,8,16,24013.5,24034.826530612245,164.1038139261431
resnet101,0,15,4,0,resnet152,0,36,4,0,vgg19,0,22,4,0,bert,0,12,8,32,17242.0,17267.316326530614,158.26099580967158
resnet101,10,35,4,0,resnet152,0,47,4,0,vgg19,8,22,4,0,bert,6,12,8,16,22105.0,22114.326530612245,177.86120336788895
resnet101,3,35,4,0,resnet152,16,17,4,0,vgg19,0,22,4,0,bert,0,12,8,64,17617.5,18607.755102040817,1842.2893148517219
resnet101,9,13,4,0,resnet152,0,52,4,0,vgg19,0,21,4,0,bert,0,5,8,16,24168.0,25928.632653061224,2786.312200989465
resnet101,0,35,4,0,resnet152,14,52,4,0,vgg19,0,14,4,0,bert,0,4,8,32,19879.5,20377.244897959183,2705.8613516421537
resnet101,0,35,4,0,resnet152,32,47,4,0,vgg19,0,12,4,0,bert,0,5,8,16,16367.5,16368.0,149.8283371470327
resnet101,0,26,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,12,8,16,24571.5,26060.418367346938,2831.1266702371245
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,bert,0,12,8,64,27797.5,27838.122448979593,191.20841633054533
resnet101,0,2,4,0,resnet152,41,43,4,0,vgg19,0,22,4,0,bert,0,7,8,8,7022.0,7057.65306122449,160.43538352416923
resnet101,0,35,4,0,resnet152,0,19,4,0,vgg19,0,22,4,0,bert,0,12,8,32,16666.5,18187.816326530614,2073.9095307593
resnet101,0,10,4,0,resnet152,11,52,4,0,vgg19,0,11,4,0,bert,0,12,8,64,19366.5,19432.224489795917,540.0361766153367
resnet101,0,27,4,0,resnet152,0,25,4,0,vgg19,0,22,4,0,bert,0,3,8,64,15618.5,15790.663265306122,1211.06324464419
resnet101,0,11,4,0,resnet152,0,52,4,0,vgg19,0,12,4,0,bert,0,2,8,32,23980.5,24173.26530612245,526.3639919880927
resnet101,0,14,4,0,resnet152,3,52,4,0,vgg19,0,22,4,0,bert,0,12,8,32,25359.5,25377.775510204083,163.76436099121855
resnet101,30,35,4,0,resnet152,38,52,4,0,vgg19,0,22,4,0,bert,0,12,8,16,11171.5,11227.42857142857,239.27714270361923
resnet101,0,14,4,0,resnet152,0,52,4,0,vgg19,18,20,4,0,bert,3,12,8,32,24099.5,24114.816326530614,176.20711068482277
resnet101,15,35,4,0,resnet152,0,45,4,0,vgg19,6,19,4,0,bert,2,4,8,32,21088.5,21077.081632653062,186.07940336458012
resnet101,30,33,4,0,resnet152,0,5,4,0,vgg19,0,22,4,0,bert,0,5,8,32,6323.0,6591.775510204082,752.4379631437012
resnet101,0,35,4,0,resnet152,26,26,4,0,vgg19,1,22,4,0,bert,0,12,8,64,16645.5,17522.744897959183,1722.3047818123134
resnet101,0,35,4,0,resnet152,1,37,4,0,vgg19,3,6,4,0,bert,0,2,8,16,17452.5,18493.622448979593,2275.0360773784655
resnet101,19,35,4,0,resnet152,45,52,4,0,vgg19,0,22,4,0,bert,8,12,8,8,9244.0,9079.204081632653,1809.6222458392806
resnet101,0,35,4,0,resnet152,41,48,4,0,vgg19,0,22,4,0,bert,0,11,8,64,16296.0,16565.571428571428,1019.2288401391654
resnet101,34,35,4,0,resnet152,20,52,4,0,vgg19,11,22,4,0,bert,0,12,8,32,15213.5,16574.061224489797,2139.524426540105
resnet101,30,35,4,0,resnet152,0,27,4,0,vgg19,16,16,4,0,bert,0,8,8,64,12986.5,13246.163265306122,1009.5094655819439
resnet101,0,35,4,0,resnet152,0,37,4,0,vgg19,0,22,4,0,bert,0,7,8,16,23952.5,23315.34693877551,3994.7499579538467
resnet101,33,35,4,0,resnet152,0,52,4,0,vgg19,21,22,4,0,bert,3,12,8,32,27505.5,27543.29591836735,307.35020274305566
resnet101,0,35,4,0,resnet152,0,28,4,0,vgg19,0,22,4,0,bert,0,11,8,32,16682.0,17743.020408163266,1899.9231078941161
resnet101,0,11,4,0,resnet152,0,52,4,0,vgg19,12,22,4,0,bert,0,10,8,32,24159.5,24448.397959183672,599.7086323118123
resnet101,24,35,4,0,resnet152,17,27,4,0,vgg19,0,15,4,0,bert,8,12,8,32,6332.5,6845.744897959184,1584.2020544137238
resnet101,18,30,4,0,resnet152,6,34,4,0,vgg19,0,22,4,0,bert,0,7,8,8,13545.0,13552.755102040815,134.4005634421263
