core,bs,duration
1,1,0.08177804946899414
1,2,0.0886847972869873
1,3,0.08940672874450684
1,4,0.08989667892456055
1,5,0.08911871910095215
1,6,0.09036731719970703
1,7,0.09115123748779297
1,8,0.09023380279541016
1,9,0.09048199653625488
1,10,0.0980067253112793
1,11,0.09289026260375977
1,12,0.09123444557189941
1,13,0.09171152114868164
1,14,0.09097123146057129
1,15,0.09165549278259277
1,16,0.09101152420043945
2,1,0.07605814933776855
2,2,0.09079480171203613
2,3,0.08929800987243652
2,4,0.08893442153930664
2,5,0.09479594230651855
2,6,0.09083938598632812
2,7,0.09048819541931152
2,8,0.09057784080505371
2,9,0.09247231483459473
2,10,0.09029078483581543
2,11,0.0904691219329834
2,12,0.09162116050720215
2,13,0.09410476684570312
2,14,0.09067201614379883
2,15,0.0910642147064209
2,16,0.09782528877258301
3,1,0.07831263542175293
3,2,0.08887100219726562
3,3,0.08936333656311035
3,4,0.08943533897399902
3,5,0.09006214141845703
3,6,0.0904092788696289
3,7,0.09116578102111816
3,8,0.09241271018981934
3,9,0.09092926979064941
3,10,0.09013605117797852
3,11,0.09564948081970215
3,12,0.09108591079711914
3,13,0.09132838249206543
3,14,0.09135079383850098
3,15,0.09249734878540039
3,16,0.09160137176513672
4,1,0.07463479042053223
4,2,0.08907747268676758
4,3,0.09034562110900879
4,4,0.08852124214172363
4,5,0.08945536613464355
4,6,0.09306669235229492
4,7,0.09605216979980469
4,8,0.09081315994262695
4,9,0.09042072296142578
4,10,0.08992576599121094
4,11,0.0906517505645752
4,12,0.09022760391235352
4,13,0.09163546562194824
4,14,0.0935208797454834
4,15,0.09119868278503418
4,16,0.0907902717590332
5,1,0.08003926277160645
5,2,0.08880853652954102
5,3,0.08856630325317383
5,4,0.08800649642944336
5,5,0.08881258964538574
5,6,0.08897781372070312
5,7,0.08917880058288574
5,8,0.08941221237182617
5,9,0.09293651580810547
5,10,0.09098291397094727
5,11,0.08981847763061523
5,12,0.09210443496704102
5,13,0.09386801719665527
5,14,0.0940084457397461
5,15,0.0912628173828125
5,16,0.09169626235961914
6,1,0.0799098014831543
6,2,0.0897378921508789
6,3,0.08880615234375
6,4,0.0925147533416748
6,5,0.09020566940307617
6,6,0.08918285369873047
6,7,0.09415960311889648
6,8,0.0931708812713623
6,9,0.09015941619873047
6,10,0.08999180793762207
6,11,0.09074902534484863
6,12,0.09091997146606445
6,13,0.09145927429199219
6,14,0.09074831008911133
6,15,0.09495162963867188
6,16,0.09144067764282227
7,1,0.07943892478942871
7,2,0.09081888198852539
7,3,0.09090971946716309
7,4,0.0928804874420166
7,5,0.0902557373046875
7,6,0.08940267562866211
7,7,0.08940792083740234
7,8,0.09006500244140625
7,9,0.09020757675170898
7,10,0.09256911277770996
7,11,0.09029746055603027
7,12,0.09057235717773438
7,13,0.09332418441772461
7,14,0.09377336502075195
7,15,0.09117245674133301
7,16,0.09030413627624512
8,1,0.0769035816192627
8,2,0.08845210075378418
8,3,0.08911442756652832
8,4,0.08854293823242188
8,5,0.09129476547241211
8,6,0.09003138542175293
8,7,0.08948540687561035
8,8,0.0896754264831543
8,9,0.09526300430297852
8,10,0.09123086929321289
8,11,0.09572863578796387
8,12,0.09168052673339844
8,13,0.09068655967712402
8,14,0.09392309188842773
8,15,0.09096670150756836
8,16,0.09459877014160156
9,1,0.07630634307861328
9,2,0.08879756927490234
9,3,0.08861780166625977
9,4,0.0946645736694336
9,5,0.08969902992248535
9,6,0.0893697738647461
9,7,0.09180450439453125
9,8,0.09010744094848633
9,9,0.09130573272705078
9,10,0.09075069427490234
9,11,0.09401106834411621
9,12,0.09111475944519043
9,13,0.09145927429199219
9,14,0.09253549575805664
9,15,0.09586167335510254
9,16,0.09200644493103027
10,1,0.08208703994750977
10,2,0.0906531810760498
10,3,0.08937835693359375
10,4,0.0889737606048584
10,5,0.08905315399169922
10,6,0.09126830101013184
10,7,0.09074974060058594
10,8,0.08957862854003906
10,9,0.09013867378234863
10,10,0.0955514907836914
10,11,0.09057307243347168
10,12,0.09050989151000977
10,13,0.09222269058227539
10,14,0.09041595458984375
10,15,0.09162449836730957
10,16,0.0912168025970459
11,1,0.08152079582214355
11,2,0.08938026428222656
11,3,0.08901119232177734
11,4,0.08890843391418457
11,5,0.09679365158081055
11,6,0.08965778350830078
11,7,0.09182620048522949
11,8,0.09384942054748535
11,9,0.0909733772277832
11,10,0.09162211418151855
11,11,0.09131264686584473
11,12,0.09305334091186523
11,13,0.09181880950927734
11,14,0.09117460250854492
11,15,0.0934596061706543
11,16,0.09577584266662598
12,1,0.07947182655334473
12,2,0.08866405487060547
12,3,0.08830690383911133
12,4,0.08815312385559082
12,5,0.08899974822998047
12,6,0.08920001983642578
12,7,0.09169507026672363
12,8,0.09148526191711426
12,9,0.08974266052246094
12,10,0.08977961540222168
12,11,0.09666228294372559
12,12,0.0904703140258789
12,13,0.09088373184204102
12,14,0.09564566612243652
12,15,0.09101366996765137
12,16,0.09102630615234375
13,1,0.07798266410827637
13,2,0.08936548233032227
13,3,0.08856630325317383
13,4,0.08838415145874023
13,5,0.08881139755249023
13,6,0.09468293190002441
13,7,0.08962607383728027
13,8,0.08901262283325195
13,9,0.09013724327087402
13,10,0.0893411636352539
13,11,0.08982539176940918
13,12,0.09179186820983887
13,13,0.09165120124816895
13,14,0.09206652641296387
13,15,0.0908961296081543
13,16,0.09013867378234863
14,1,0.0807497501373291
14,2,0.08886432647705078
14,3,0.08855390548706055
14,4,0.09092235565185547
14,5,0.09260773658752441
14,6,0.08971285820007324
14,7,0.0913398265838623
14,8,0.09207606315612793
14,9,0.09272193908691406
14,10,0.09028029441833496
14,11,0.09056782722473145
14,12,0.09532642364501953
14,13,0.09105396270751953
14,14,0.09091925621032715
14,15,0.09128046035766602
14,16,0.09111762046813965
15,1,0.07775735855102539
15,2,0.0883333683013916
15,3,0.08895683288574219
15,4,0.09014678001403809
15,5,0.08974957466125488
15,6,0.08870792388916016
15,7,0.09469246864318848
15,8,0.09070897102355957
15,9,0.08963465690612793
15,10,0.08949971199035645
15,11,0.0942995548248291
15,12,0.09033584594726562
15,13,0.09052848815917969
15,14,0.09058761596679688
15,15,0.0928640365600586
15,16,0.09119200706481934
16,1,0.08028769493103027
16,2,0.09405827522277832
16,3,0.09382748603820801
16,4,0.09117841720581055
16,5,0.10121464729309082
16,6,0.10448980331420898
16,7,0.10297775268554688
16,8,0.10799074172973633
16,9,0.10622978210449219
16,10,0.1125023365020752
16,11,0.09759998321533203
16,12,0.09584641456604004
16,13,0.10414719581604004
16,14,0.09517645835876465
16,15,0.09174275398254395
16,16,0.09874224662780762
17,1,0.08358359336853027
17,2,0.09847640991210938
17,3,0.10005903244018555
17,4,0.10344457626342773
