predictor,combinations,mae,mape
mlp,resnet50_resnet50,0.29244792,0.048714478
mlp,resnet50_resnet101,0.24496949,0.034867957
mlp,resnet50_resnet152,0.39617234,0.042346407
mlp,resnet50_inception_v3,0.4595285,0.049554452
mlp,resnet50_vgg16,0.24253985,0.047661513
mlp,resnet50_vgg19,0.28567082,0.054322083
mlp,resnet50_bert,0.38804656,0.04414895
mlp,resnet101_resnet101,0.45220548,0.048925757
mlp,resnet101_resnet152,0.6138424,0.057394896
mlp,resnet101_inception_v3,0.4510675,0.04710157
mlp,resnet101_vgg16,0.3610551,0.04861516
mlp,resnet101_vgg19,0.36989263,0.04992353
mlp,resnet101_bert,0.30707008,0.03188254
mlp,resnet152_resnet152,0.8095964,0.06267435
mlp,resnet152_inception_v3,0.6325153,0.055991914
mlp,resnet152_vgg16,0.5893026,0.06424122
mlp,resnet152_vgg19,0.47930974,0.05205434
mlp,resnet152_bert,0.4734382,0.042762112
mlp,inception_v3_inception_v3,0.7256231,0.06185322
mlp,inception_v3_vgg16,0.5453736,0.059751563
mlp,inception_v3_vgg19,0.64050215,0.06811511
mlp,inception_v3_bert,0.5147986,0.042534612
mlp,vgg16_vgg16,0.5618168,0.09595276
mlp,vgg16_vgg19,0.4769647,0.1027177
mlp,vgg16_bert,0.38793403,0.044595353
mlp,vgg19_vgg19,0.54954726,0.10334614
mlp,vgg19_bert,0.48988706,0.053876344
mlp,bert_bert,0.17292702,0.018637832
mlp,all,0.5270768,0.06343103
mlp,all,0.5271183,0.063984446
lr,resnet50_resnet50,0.7198385218160313,0.11149513753696591
lr,resnet50_resnet101,0.892243288245042,0.11703716517488598
lr,resnet50_resnet152,1.1536715065723506,0.12079499614543661
lr,resnet50_inception_v3,1.0329614294560017,0.1159503647775938
lr,resnet50_vgg16,0.8276905983943227,0.15784156673561073
lr,resnet50_vgg19,0.9757373215857219,0.18138010544039043
lr,resnet50_bert,0.5999790238591979,0.06988084935965932
lr,resnet101_resnet101,1.2874537492998661,0.13153897011786228
lr,resnet101_resnet152,1.5671950960103829,0.1427689339059225
lr,resnet101_inception_v3,1.3025738343496749,0.12976325607671874
lr,resnet101_vgg16,0.9406274650341282,0.12305774454270779
lr,resnet101_vgg19,1.1194871691413582,0.14484756747534702
lr,resnet101_bert,1.188898639825245,0.12036192888743659
lr,resnet152_resnet152,2.0920319003315746,0.15557947755162427
lr,resnet152_inception_v3,2.02703084684497,0.1535078458250668
lr,resnet152_vgg16,1.0409710489593418,0.10806327183775798
lr,resnet152_vgg19,0.9383447368919887,0.1004052144856543
lr,resnet152_bert,1.5909648770447824,0.14230791187746636
lr,inception_v3_inception_v3,1.2681225059200156,0.11010271396242641
lr,inception_v3_vgg16,1.0777586817246818,0.12047527876562879
lr,inception_v3_vgg19,1.3938431194045728,0.1456935930622184
lr,inception_v3_bert,1.2124883106616087,0.10036985795571615
lr,vgg16_vgg16,2.6243657323202103,0.4865999432300604
lr,vgg16_vgg19,1.7051952768497445,0.3539949387986075
lr,vgg16_bert,0.5837302526470642,0.06847082349376275
lr,vgg19_vgg19,2.388395460671236,0.4266632931714264
lr,vgg19_bert,0.77018590035538,0.0904464862710895
lr,bert_bert,0.7627966079385525,0.07882455482976317
lr,all,1.8825020510562143,0.23669878884448517
svm,resnet50_resnet50,0.747690721431018,0.11107083542023805
svm,resnet50_resnet101,0.8708023611722818,0.10920144347698806
svm,resnet50_resnet152,1.0430447850560594,0.11253222588810283
svm,resnet50_inception_v3,1.0124086932701297,0.11582116015303572
svm,resnet50_vgg16,0.7199151734651092,0.11474216441035322
svm,resnet50_vgg19,0.8727244572448632,0.13180618134189265
svm,resnet50_bert,0.6061958317570022,0.06728211465052406
svm,resnet101_resnet101,1.3295378628834924,0.13038786932711496
svm,resnet101_resnet152,1.5775293207812329,0.13407037737412258
svm,resnet101_inception_v3,1.2785393111619237,0.12469761007368507
svm,resnet101_vgg16,0.9321766601432059,0.1165165626556745
svm,resnet101_vgg19,1.1155934017401503,0.13083234404307142
svm,resnet101_bert,1.1028516314625452,0.10665120236392586
svm,resnet152_resnet152,2.061692551887421,0.1395992938939562
svm,resnet152_inception_v3,1.9283612393726346,0.14553551291381847
svm,resnet152_vgg16,0.9363792408027058,0.09448061089738966
svm,resnet152_vgg19,0.8784295137367107,0.08434674596158308
svm,resnet152_bert,1.4898537002964825,0.12988254757386036
svm,inception_v3_inception_v3,1.3412620865849803,0.11166681978735744
svm,inception_v3_vgg16,1.0466215026433252,0.11865071552560116
svm,inception_v3_vgg19,1.2471198405963215,0.12650900751981795
svm,inception_v3_bert,1.143209367726888,0.09350329943210238
svm,vgg16_vgg16,2.671979932591551,0.4350603564909096
svm,vgg16_vgg19,1.6454402324587705,0.31745153343550236
svm,vgg16_bert,0.46382910711936004,0.050853582501565714
svm,vgg19_vgg19,2.1460404925034244,0.3503494859903853
svm,vgg19_bert,0.5601371467941709,0.057392952389750916
svm,bert_bert,0.7750485355085381,0.07677078668706377
svm,all,1.8722796774780384,0.22451846496319403





