core,bs,duration
1,1,0.06666350364685059
1,2,0.08793950080871582
1,3,0.0866398811340332
1,4,0.08748245239257812
1,5,0.0895380973815918
1,6,0.08716559410095215
1,7,0.0910036563873291
1,8,0.08706259727478027
1,9,0.08781027793884277
1,10,0.08764195442199707
1,11,0.08799195289611816
1,12,0.08829522132873535
1,13,0.08800077438354492
1,14,0.08838438987731934
1,15,0.08831524848937988
1,16,0.09214663505554199
2,1,0.0627744197845459
2,2,0.08608698844909668
2,3,0.0861670970916748
2,4,0.08641171455383301
2,5,0.08628559112548828
2,6,0.08651590347290039
2,7,0.08769011497497559
2,8,0.08752918243408203
2,9,0.08811521530151367
2,10,0.08790993690490723
2,11,0.08756375312805176
2,12,0.09012341499328613
2,13,0.08869075775146484
2,14,0.09242725372314453
2,15,0.08938193321228027
2,16,0.08838629722595215
3,1,0.06398916244506836
3,2,0.08732318878173828
3,3,0.08709430694580078
3,4,0.0869743824005127
3,5,0.0868072509765625
3,6,0.08723616600036621
3,7,0.09094119071960449
3,8,0.0892343521118164
3,9,0.0871737003326416
3,10,0.08796095848083496
3,11,0.08789491653442383
3,12,0.0883028507232666
3,13,0.0887000560760498
3,14,0.08871889114379883
3,15,0.08978772163391113
3,16,0.10080075263977051
4,1,0.06789135932922363
4,2,0.08698534965515137
4,3,0.08902406692504883
4,4,0.08677124977111816
4,5,0.08745217323303223
4,6,0.08962559700012207
4,7,0.08661150932312012
4,8,0.08748054504394531
4,9,0.08736538887023926
4,10,0.08767437934875488
4,11,0.08824324607849121
4,12,0.08854413032531738
4,13,0.08824896812438965
4,14,0.09131741523742676
4,15,0.0889899730682373
4,16,0.08905434608459473
5,1,0.06483244895935059
5,2,0.08606433868408203
5,3,0.08621931076049805
5,4,0.0869438648223877
5,5,0.08640933036804199
5,6,0.08637738227844238
5,7,0.08788919448852539
5,8,0.08832025527954102
5,9,0.08875441551208496
5,10,0.09241056442260742
5,11,0.08826708793640137
5,12,0.08795547485351562
5,13,0.09312582015991211
5,14,0.08962774276733398
5,15,0.08907151222229004
5,16,0.08941483497619629
6,1,0.06552982330322266
6,2,0.08671808242797852
6,3,0.08698749542236328
6,4,0.08685469627380371
6,5,0.08973884582519531
6,6,0.08724546432495117
6,7,0.08805489540100098
6,8,0.08800935745239258
6,9,0.08753728866577148
6,10,0.08728837966918945
6,11,0.08855319023132324
6,12,0.08786439895629883
6,13,0.08800077438354492
6,14,0.08826684951782227
6,15,0.0885617733001709
6,16,0.09057021141052246
7,1,0.067657470703125
7,2,0.0880582332611084
7,3,0.09835362434387207
7,4,0.0988473892211914
7,5,0.09127593040466309
7,6,0.08690357208251953
7,7,0.08764958381652832
7,8,0.0879051685333252
7,9,0.08805489540100098
7,10,0.08767271041870117
7,11,0.08774971961975098
7,12,0.09486675262451172
7,13,0.08834385871887207
7,14,0.0889577865600586
7,15,0.0893409252166748
7,16,0.08927798271179199
8,1,0.0659031867980957
8,2,0.08661627769470215
8,3,0.086395263671875
8,4,0.08644676208496094
