model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,22,35,8,0,resnet152,18,52,8,0,vgg19,0,22,8,0,bert,3,12,8,8,20386.0,20415.469387755104,576.8314259476937
resnet101,0,6,8,0,resnet152,0,52,8,0,vgg19,0,21,8,0,bert,0,11,8,64,29037.5,29019.14285714286,176.1149902646517
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,18,18,8,0,bert,7,7,8,64,24567.5,25805.76530612245,2749.927163417689
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,7,8,8,32227.0,32224.673469387755,206.01791954506686
resnet101,0,35,8,0,resnet152,25,32,8,0,vgg19,2,22,8,0,bert,0,12,8,16,19561.5,19944.897959183672,1333.0242544894147
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,4,22,8,0,bert,0,12,8,64,30950.5,31075.102040816328,700.1071563725073
resnet101,0,12,8,0,resnet152,0,15,8,0,vgg19,0,5,8,0,bert,0,12,8,32,15637.0,15659.734693877552,221.32419434037593
resnet101,0,35,8,0,resnet152,0,29,8,0,vgg19,4,22,8,0,bert,0,2,8,32,23639.5,23782.397959183672,607.3472721396112
resnet101,0,16,8,0,resnet152,49,50,8,0,vgg19,3,22,8,0,bert,0,5,8,32,13431.0,13518.091836734693,454.1169517335027
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,11,8,16,32687.0,32750.571428571428,512.6913978093987
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,4,8,0,bert,0,12,8,64,28284.0,30903.61224489796,3745.0521034839085
resnet101,22,35,8,0,resnet152,12,15,8,0,vgg19,0,21,8,0,bert,9,12,8,16,13431.5,13428.877551020409,68.30383281834168
resnet101,31,32,8,0,resnet152,0,52,8,0,vgg19,4,22,8,0,bert,0,1,8,32,24799.0,26334.367346938776,2664.9486206624156
resnet101,29,29,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,6,8,32,24965.5,24987.755102040817,334.14514936074727
resnet101,8,35,8,0,resnet152,0,52,8,0,vgg19,0,2,8,0,bert,6,12,8,64,24683.0,24812.622448979593,430.6207317327908
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,21,21,8,0,bert,0,12,8,64,24745.0,24883.632653061224,404.62182867450446
resnet101,5,35,8,0,resnet152,27,52,8,0,vgg19,16,22,8,0,bert,0,12,8,16,17287.5,17593.071428571428,2265.217420974356
resnet101,0,35,8,0,resnet152,0,33,8,0,vgg19,17,22,8,0,bert,0,12,8,32,20129.5,20743.969387755104,1827.1137463004413
resnet101,12,30,8,0,resnet152,10,52,8,0,vgg19,16,18,8,0,bert,0,12,8,32,21045.0,22300.428571428572,2415.021739032591
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,9,8,0,bert,0,12,8,16,29561.0,29655.85714285714,807.032255380471
resnet101,0,35,8,0,resnet152,0,3,8,0,vgg19,0,22,8,0,bert,0,12,8,64,24802.5,24817.591836734693,215.02177567631088
resnet101,10,35,8,0,resnet152,0,19,8,0,vgg19,0,19,8,0,bert,10,12,8,64,21371.0,21432.071428571428,278.2622551713783
resnet101,0,35,8,0,resnet152,11,52,8,0,vgg19,0,22,8,0,bert,0,12,8,8,28462.0,28472.336734693876,188.86686509865862
resnet101,0,0,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,12,8,8,25272.5,25301.755102040817,264.7630462078016
resnet101,30,35,8,0,resnet152,49,52,8,0,vgg19,0,7,8,0,bert,11,12,8,8,6862.5,6863.857142857143,59.45895514503072
resnet101,0,35,8,0,resnet152,35,52,8,0,vgg19,0,22,8,0,bert,0,12,8,16,24326.0,24309.918367346938,212.7873170931524
resnet101,8,35,8,0,resnet152,49,50,8,0,vgg19,0,16,8,0,bert,1,12,8,8,16254.0,16298.163265306122,318.0004394130436
resnet101,8,35,8,0,resnet152,14,52,8,0,vgg19,0,18,8,0,bert,6,12,8,16,23368.0,23369.724489795917,217.8172694476672
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,3,8,0,bert,0,12,8,32,26617.0,26931.48979591837,1169.4532495816586
resnet101,0,7,8,0,resnet152,0,52,8,0,vgg19,20,22,8,0,bert,6,8,8,32,24566.5,25127.397959183672,1686.1619547204994
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,1,8,0,bert,0,10,8,32,24820.5,25581.275510204083,2012.417055107108
resnet101,0,27,8,0,resnet152,0,52,8,0,vgg19,0,15,8,0,bert,0,6,8,16,29954.5,29940.275510204083,177.2558269162402
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,12,22,8,0,bert,0,11,8,64,27090.5,27104.438775510203,255.80956191246554
resnet101,0,35,8,0,resnet152,0,24,8,0,vgg19,0,22,8,0,bert,0,2,8,8,26479.5,26485.673469387755,155.36335130518935
resnet101,9,23,8,0,resnet152,1,52,8,0,vgg19,0,22,8,0,bert,8,12,8,8,26350.0,26490.918367346938,723.3524936507814
resnet101,0,35,8,0,resnet152,11,52,8,0,vgg19,0,22,8,0,bert,0,12,8,16,28945.0,28802.183673469386,461.6116697084199
resnet101,22,27,8,0,resnet152,43,52,8,0,vgg19,0,22,8,0,bert,3,12,8,8,14080.0,14072.755102040815,81.13594804897465
resnet101,34,35,8,0,resnet152,8,27,8,0,vgg19,0,22,8,0,bert,4,12,8,32,16156.0,16178.234693877552,318.6709582196994
resnet101,0,35,8,0,resnet152,19,52,8,0,vgg19,3,16,8,0,bert,0,7,8,64,23630.0,23613.0,280.6274311289629
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,5,8,32,33726.0,33733.36734693877,210.81326429607162
resnet101,0,23,8,0,resnet152,50,52,8,0,vgg19,0,22,8,0,bert,10,12,8,8,18155.0,18153.438775510203,377.3231729748476
resnet101,19,29,8,0,resnet152,0,1,8,0,vgg19,11,17,8,0,bert,2,12,8,8,10106.5,10386.826530612245,1043.2947910005012
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,18,8,0,bert,0,0,8,16,31736.5,31843.622448979593,655.2662882184885
resnet101,0,29,8,0,resnet152,0,52,8,0,vgg19,21,22,8,0,bert,0,12,8,32,24725.5,25537.020408163266,2106.477536511701
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,2,6,8,0,bert,0,0,8,16,24784.5,25115.479591836734,1203.9436408735392
resnet101,0,35,8,0,resnet152,26,52,8,0,vgg19,0,22,8,0,bert,5,12,8,64,26153.0,26161.071428571428,255.1731405000398
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,2,12,8,32,33381.5,33393.82653061225,205.68045483275324
resnet101,0,35,8,0,resnet152,0,3,8,0,vgg19,0,21,8,0,bert,0,0,8,64,21511.5,21636.122448979593,582.548084470744
resnet101,0,4,8,0,resnet152,0,52,8,0,vgg19,0,17,8,0,bert,0,12,8,16,28395.5,29021.38775510204,2740.4526053736167
resnet101,0,35,8,0,resnet152,20,37,8,0,vgg19,0,22,8,0,bert,0,12,8,64,25890.5,25924.469387755104,290.66630717046473
resnet101,0,15,8,0,resnet152,27,52,8,0,vgg19,0,9,8,0,bert,0,7,8,8,16930.5,16926.602040816328,146.06838905645998
resnet101,3,11,8,0,resnet152,38,52,8,0,vgg19,3,22,8,0,bert,0,12,8,32,14664.0,14623.530612244898,209.99466485359122
resnet101,0,19,8,0,resnet152,21,52,8,0,vgg19,14,22,8,0,bert,3,9,8,8,14976.0,15816.448979591836,1532.805491890066
resnet101,15,35,8,0,resnet152,13,25,8,0,vgg19,11,12,8,0,bert,0,12,8,16,11968.5,12349.765306122448,1119.2742528451413
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,1,8,0,bert,0,12,8,64,25988.0,25996.448979591838,182.46593880910865
resnet101,0,29,8,0,resnet152,0,52,8,0,vgg19,0,14,8,0,bert,0,12,8,64,35968.5,34686.88775510204,1976.6679646574748
resnet101,0,11,8,0,resnet152,0,52,8,0,vgg19,0,17,8,0,bert,0,3,16,32,28747.0,29241.602040816328,1327.4947768050972
resnet101,31,35,8,0,resnet152,17,52,8,0,vgg19,0,22,8,0,bert,0,12,16,8,19855.0,19902.30612244898,232.4055396510049
resnet101,0,25,8,0,resnet152,0,25,8,0,vgg19,0,21,8,0,bert,0,12,16,32,26748.0,26752.051020408162,151.19128122800907
resnet101,13,35,8,0,resnet152,0,52,8,0,vgg19,1,22,8,0,bert,0,9,16,8,28016.0,28012.80612244898,200.5945579950002
resnet101,30,35,8,0,resnet152,0,22,8,0,vgg19,0,22,8,0,bert,1,12,16,8,19316.5,19289.714285714286,234.83993680455492
resnet101,25,26,8,0,resnet152,0,51,8,0,vgg19,0,22,8,0,bert,0,2,16,32,25339.5,25793.69387755102,1539.148587913721
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,8,10,16,8,32711.5,32695.70408163265,206.50958416181854
resnet101,10,33,8,0,resnet152,48,51,8,0,vgg19,0,22,8,0,bert,0,2,16,8,16659.5,16652.54081632653,114.26036936530915
resnet101,0,25,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,12,16,64,36475.0,36470.63265306123,160.870868975082
resnet101,0,35,8,0,resnet152,27,52,8,0,vgg19,11,22,8,0,bert,5,12,16,8,18095.0,18744.326530612245,1167.0866989069468
resnet101,31,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,8,16,16,26358.5,26969.673469387755,1902.9918376582928
resnet101,15,35,8,0,resnet152,18,52,8,0,vgg19,13,22,8,0,bert,0,12,16,32,17539.0,17415.581632653062,589.4405497617694
resnet101,8,35,8,0,resnet152,35,52,8,0,vgg19,0,22,8,0,bert,7,12,16,16,20253.5,20291.918367346938,333.46641581869545
resnet101,0,35,8,0,resnet152,51,52,8,0,vgg19,7,22,8,0,bert,0,12,16,16,17043.0,17451.275510204083,1183.8503402777565
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,12,8,0,bert,0,12,16,16,31476.5,31774.091836734693,1135.3282370538172
resnet101,0,31,8,0,resnet152,0,21,8,0,vgg19,0,22,8,0,bert,0,12,16,16,27137.0,27129.95918367347,155.54833347970398
resnet101,0,35,8,0,resnet152,0,5,8,0,vgg19,14,22,8,0,bert,0,1,16,32,16866.0,17327.19387755102,1388.289445634618
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,12,16,64,38475.0,38497.163265306124,222.49956174584455
resnet101,0,35,8,0,resnet152,3,52,8,0,vgg19,4,22,8,0,bert,6,12,16,16,28057.5,28061.34693877551,164.2218572815332
resnet101,0,15,8,0,resnet152,31,52,8,0,vgg19,0,18,8,0,bert,0,4,16,32,19921.5,19916.448979591838,147.0595549532243
resnet101,0,32,8,0,resnet152,0,52,8,0,vgg19,0,13,8,0,bert,0,1,16,16,30407.0,30396.938775510203,152.49287814260344
resnet101,30,34,8,0,resnet152,0,16,8,0,vgg19,0,0,8,0,bert,0,12,16,8,11932.5,12005.183673469388,565.7169434811085
resnet101,18,35,8,0,resnet152,0,44,8,0,vgg19,0,5,8,0,bert,2,9,16,64,23576.5,23607.061224489797,435.4808230817633
resnet101,0,35,8,0,resnet152,13,52,8,0,vgg19,21,22,8,0,bert,0,12,16,64,22691.0,22702.632653061224,111.99903313677984
resnet101,21,27,8,0,resnet152,0,0,8,0,vgg19,9,22,8,0,bert,6,9,16,8,5554.0,5548.275510204082,47.535761105964895
resnet101,0,7,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,2,16,64,29394.0,29407.23469387755,179.04906413540238
resnet101,0,35,8,0,resnet152,0,25,8,0,vgg19,0,22,8,0,bert,10,10,16,16,26907.5,26907.897959183672,175.9498125217737
resnet101,0,19,8,0,resnet152,0,43,8,0,vgg19,0,9,8,0,bert,0,12,16,32,26712.0,26775.38775510204,613.7835926656664
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,18,8,0,bert,0,12,16,64,37081.0,37087.58163265306,205.1736409189706
resnet101,0,35,8,0,resnet152,0,16,8,0,vgg19,0,19,8,0,bert,0,5,16,16,25607.0,25608.214285714286,170.75798902636015
resnet101,0,35,8,0,resnet152,1,52,8,0,vgg19,0,22,8,0,bert,0,12,16,8,32642.5,32826.0,728.7011929257619
resnet101,0,35,8,0,resnet152,14,28,8,0,vgg19,0,22,8,0,bert,0,12,16,8,23859.0,23976.571428571428,647.1015281662548
resnet101,0,35,8,0,resnet152,0,49,8,0,vgg19,18,22,8,0,bert,0,12,16,64,27846.0,27987.091836734693,352.184091666783
resnet101,0,35,8,0,resnet152,35,47,8,0,vgg19,12,13,8,0,bert,10,12,16,64,16787.5,17149.755102040817,1054.7374570433608
resnet101,0,35,8,0,resnet152,5,25,8,0,vgg19,0,22,8,0,bert,2,3,16,8,24514.5,24504.64285714286,177.3218134077251
resnet101,32,33,8,0,resnet152,0,3,8,0,vgg19,0,9,8,0,bert,0,12,16,32,12761.5,12886.857142857143,588.3322676369681
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,10,16,32,35663.5,35641.663265306124,204.72499941447344
resnet101,11,28,8,0,resnet152,38,52,8,0,vgg19,0,16,8,0,bert,1,3,16,8,15870.5,15864.969387755102,172.61857528168343
resnet101,0,27,8,0,resnet152,5,52,8,0,vgg19,0,22,8,0,bert,0,2,16,8,29179.5,29219.163265306124,264.44013611654674
resnet101,0,3,8,0,resnet152,0,31,8,0,vgg19,15,16,8,0,bert,6,12,16,8,15246.0,16184.857142857143,2036.5139482027837
resnet101,15,29,8,0,resnet152,23,52,8,0,vgg19,0,3,8,0,bert,0,12,16,64,17384.0,17360.01020408163,105.79798760652777
resnet101,25,35,8,0,resnet152,48,52,8,0,vgg19,0,1,8,0,bert,9,12,16,64,5755.0,5990.510204081633,910.2634205513456
resnet101,0,35,8,0,resnet152,0,19,8,0,vgg19,0,12,8,0,bert,0,9,16,8,24146.5,24152.64285714286,224.7142516574309
resnet101,32,35,8,0,resnet152,0,52,8,0,vgg19,1,22,8,0,bert,0,12,16,16,25732.5,27398.448979591838,2527.8510157050396
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,12,16,16,34242.0,34293.56122448979,280.2191950455393
resnet101,0,35,8,0,resnet152,0,24,8,0,vgg19,17,22,8,0,bert,0,12,16,64,23165.5,23200.897959183672,351.3981836396182
resnet101,0,35,8,0,resnet152,0,16,8,0,vgg19,0,22,8,0,bert,0,12,16,16,27313.5,27309.918367346938,168.43533692151732
resnet101,25,34,8,0,resnet152,29,52,8,0,vgg19,8,22,8,0,bert,0,6,16,64,14509.5,14504.84693877551,106.35456219077851
resnet101,0,35,8,0,resnet152,0,40,8,0,vgg19,0,22,8,0,bert,0,12,16,8,30909.0,30897.255102040817,196.17138026010025
resnet101,3,35,8,0,resnet152,0,52,8,0,vgg19,10,22,8,0,bert,0,12,16,8,25803.0,27516.98979591837,3031.2561735511226
resnet101,0,35,8,0,resnet152,0,3,8,0,vgg19,1,22,8,0,bert,4,10,16,64,24145.0,24105.683673469386,272.5967567199961
resnet101,0,12,8,0,resnet152,49,52,8,0,vgg19,0,21,8,0,bert,0,6,16,8,15510.0,15487.65306122449,132.6598459803375
resnet101,0,26,8,0,resnet152,0,24,8,0,vgg19,0,20,8,0,bert,0,12,16,8,25359.0,25347.897959183672,155.45578082449504
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,10,16,8,33671.5,33710.36734693877,518.895557651156
resnet101,0,34,8,0,resnet152,0,52,8,0,vgg19,0,2,8,0,bert,0,12,16,8,29820.0,28506.438775510203,2465.6020462218135
resnet101,0,35,8,0,resnet152,0,17,8,0,vgg19,1,22,8,0,bert,0,12,16,32,27599.5,27599.081632653062,176.60365363991508
resnet101,27,35,8,0,resnet152,0,52,8,0,vgg19,7,22,8,0,bert,11,12,16,16,24457.5,26198.091836734693,3286.859813004127
resnet101,0,35,8,0,resnet152,51,52,8,0,vgg19,18,22,8,0,bert,0,12,16,32,16636.0,17177.88775510204,1702.7575407271358
resnet101,34,35,8,0,resnet152,0,29,8,0,vgg19,12,19,8,0,bert,0,12,16,64,16229.0,16481.561224489797,1149.6335446862572
