model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,32,47,1,0,vgg19,16,21,1,0,bert,0,11,1,8,16703.5,18737.673469387755,3788.9278241533
resnet152,3,34,1,0,vgg19,15,19,1,0,bert,4,10,1,8,19806.5,19877.938775510203,438.9341407603551
resnet152,27,40,1,0,vgg19,14,19,1,0,bert,7,11,1,32,8629.0,9028.422680412372,1072.6938133584802
resnet152,38,51,1,0,vgg19,13,19,1,0,bert,1,5,1,16,8987.5,9259.163265306122,925.3584930670809
resnet152,26,45,1,0,vgg19,14,20,1,0,bert,2,8,1,16,12333.0,12773.816326530612,1083.1533645620161
resnet152,3,26,1,0,vgg19,10,20,1,0,bert,4,8,1,16,15105.5,15190.836734693878,518.5351166719481
resnet152,46,50,1,0,vgg19,17,21,1,0,bert,4,9,1,32,8126.5,8831.989795918367,1785.9269673054769
resnet152,41,48,1,0,vgg19,9,19,1,0,bert,7,11,1,16,6356.5,6823.102040816327,1262.2623396415927
resnet152,2,14,1,0,vgg19,10,21,1,0,bert,0,8,1,32,12931.5,14809.918367346938,3164.4305212705103
resnet152,15,51,1,0,vgg19,15,19,1,0,bert,4,11,1,8,23029.0,23046.316326530614,105.36831388125698
resnet152,0,18,1,0,vgg19,1,16,1,0,bert,3,7,1,16,11826.0,11945.479591836734,475.35922462980534
resnet152,1,7,1,0,vgg19,7,15,1,0,bert,6,11,1,8,7824.5,8725.632653061224,2016.2999219511735
resnet152,47,51,1,0,vgg19,10,20,1,0,bert,7,11,1,64,6670.5,7111.918367346939,1344.3182679637318
resnet152,31,42,1,0,vgg19,3,9,1,0,bert,6,10,1,32,7982.0,8945.69387755102,1992.9208356855156
resnet152,31,40,1,0,vgg19,3,14,1,0,bert,0,10,1,32,18914.5,20620.285714285714,3127.6314243418474
resnet152,45,50,1,0,vgg19,12,17,1,0,bert,6,11,1,64,9814.0,10975.459183673469,2096.915432240099
resnet152,33,45,1,0,vgg19,10,17,1,0,bert,3,7,1,64,8065.5,8759.183673469388,1380.2817617335459
resnet152,41,46,1,0,vgg19,10,19,1,0,bert,6,10,1,64,7862.0,8493.326530612245,1469.0082228101658
resnet152,13,47,1,0,vgg19,15,21,1,0,bert,1,9,1,8,21495.0,21649.255102040817,667.0788178383893
resnet152,38,46,1,0,vgg19,16,21,1,0,bert,6,10,1,16,7546.0,8358.765306122448,1486.7495074759595
resnet152,21,31,1,0,vgg19,13,19,1,0,bert,7,11,1,16,7388.0,8028.224489795918,1479.0938382189931
resnet152,18,28,1,0,vgg19,16,20,1,0,bert,6,11,1,32,9824.0,10843.183673469388,1983.455880923541
resnet152,36,47,1,0,vgg19,14,19,1,0,bert,2,8,1,8,10799.0,11972.040816326531,2329.6432542798434
resnet152,45,50,1,0,vgg19,10,20,1,0,bert,3,8,1,16,9404.0,10373.285714285714,2039.029891384426
resnet152,38,50,1,0,vgg19,5,12,1,0,bert,1,11,1,32,18935.0,20522.73469387755,3130.033730505545
resnet152,29,40,1,0,vgg19,1,7,1,0,bert,5,9,1,8,7466.0,8344.255102040815,1555.9397535109133
resnet152,10,16,1,0,vgg19,14,19,1,0,bert,3,9,1,32,11382.5,12083.622448979591,2188.4980662606617
resnet152,16,50,1,0,vgg19,2,17,1,0,bert,2,9,1,8,25536.0,25505.938775510203,150.57948042489465
resnet152,8,38,1,0,vgg19,12,16,1,0,bert,3,10,1,8,19224.0,20410.5,1543.3894600878302
resnet152,5,35,1,0,vgg19,13,18,1,0,bert,2,11,1,8,19216.5,19953.918367346938,1527.301426175375
resnet152,27,48,1,0,vgg19,1,15,1,0,bert,0,6,1,8,13700.0,14315.163265306122,1363.5082354127228
resnet152,27,37,1,0,vgg19,10,17,1,0,bert,4,9,1,32,9526.0,10607.734693877552,1957.5080136464862
resnet152,12,21,1,0,vgg19,12,20,1,0,bert,4,9,1,64,9672.5,10868.244897959185,2194.5806119789654
resnet152,44,48,1,0,vgg19,2,6,1,0,bert,3,11,1,64,14846.5,15750.724489795919,3248.3583570675914
resnet152,19,27,1,0,vgg19,14,18,1,0,bert,2,7,1,16,9003.0,9912.92857142857,1776.002431798758
resnet152,18,30,1,0,vgg19,14,19,1,0,bert,1,8,1,64,13412.5,14822.704081632653,2676.756875701638
resnet152,9,45,1,0,vgg19,5,21,1,0,bert,4,11,1,64,23089.0,23178.071428571428,413.8752461645358
resnet152,8,24,1,0,vgg19,5,19,1,0,bert,1,10,1,64,17040.5,18523.979591836734,2923.090833346044
resnet152,8,26,1,0,vgg19,1,8,1,0,bert,5,11,1,32,11910.0,13032.659793814433,2170.2141605879483
resnet152,17,41,1,0,vgg19,8,17,1,0,bert,0,4,1,64,15483.0,15483.69387755102,81.9182529513249
resnet152,31,38,1,0,vgg19,13,21,1,0,bert,4,11,1,8,12751.5,13948.061224489797,2425.753452554091
resnet152,30,45,1,0,vgg19,16,21,1,0,bert,4,8,1,64,9811.5,10275.673469387755,1241.0307991335944
resnet152,13,23,1,0,vgg19,8,16,1,0,bert,7,11,1,64,7850.0,8504.275510204081,1591.1286700019866
resnet152,0,21,1,0,vgg19,3,17,1,0,bert,7,11,1,8,13659.5,13731.132653061224,517.0543854423886
resnet152,19,25,1,0,vgg19,13,21,1,0,bert,1,6,1,16,9381.0,10187.867346938776,1825.1154318415101
resnet152,45,50,1,0,vgg19,2,10,1,0,bert,6,10,1,16,7551.5,8288.418367346938,1701.3688002183767
resnet152,15,42,1,0,vgg19,8,21,1,0,bert,5,9,1,64,17412.5,17422.969387755104,151.66803532861329
resnet152,4,33,1,0,vgg19,5,18,1,0,bert,7,11,1,8,18876.0,18878.877551020407,205.33602451939862
resnet152,0,8,1,0,vgg19,4,12,1,0,bert,2,10,1,8,14093.5,14875.326530612245,2854.9678141633
resnet152,40,50,1,0,vgg19,4,8,1,0,bert,5,9,1,32,8044.0,8452.989795918367,1231.8109987455748
resnet152,38,42,1,0,vgg19,7,15,1,0,bert,7,11,1,64,6858.0,7878.989795918367,1993.3749122310644
resnet152,39,43,1,0,vgg19,16,20,1,0,bert,4,9,1,32,8001.5,8693.69387755102,1811.9430905610427
resnet152,16,28,1,0,vgg19,0,15,1,0,bert,6,11,1,64,9475.0,10476.775510204081,1811.3692787198434
resnet152,27,36,1,0,vgg19,4,20,1,0,bert,4,9,1,16,7856.5,9097.438775510203,2201.440989426024
resnet152,35,49,1,0,vgg19,13,21,1,0,bert,0,6,1,32,10965.0,11663.785714285714,1576.8525370082605
resnet152,41,46,1,0,vgg19,4,9,1,0,bert,4,11,1,64,11326.0,12866.275510204081,2667.430896454383
resnet152,37,50,1,0,vgg19,11,20,1,0,bert,7,11,1,32,10264.0,10129.927835051547,1357.6243672781038
resnet152,32,39,1,0,vgg19,13,19,1,0,bert,5,10,1,64,9378.5,9692.122448979591,2216.876545425863
resnet152,8,24,1,0,vgg19,7,21,1,0,bert,1,5,1,64,10760.0,11031.765306122448,811.701523520888
resnet152,44,48,1,0,vgg19,4,10,1,0,bert,6,11,1,64,9612.0,10594.816326530612,1917.1560695038586
resnet152,34,44,1,0,vgg19,7,15,1,0,bert,7,11,1,8,7450.5,8073.214285714285,1454.0204799528956
resnet152,2,38,1,0,vgg19,1,11,1,0,bert,7,11,1,16,23027.0,23051.938775510203,220.71020876153838
resnet152,35,46,1,0,vgg19,6,14,1,0,bert,2,10,1,32,15162.0,16736.714285714286,2884.402056664396
resnet152,22,34,1,0,vgg19,7,11,1,0,bert,1,9,1,16,14331.0,15430.887755102041,2876.2275635987435
resnet152,29,45,1,0,vgg19,11,19,1,0,bert,4,10,1,16,12191.0,12950.214285714286,1660.262741992658
resnet152,19,44,1,0,vgg19,3,14,1,0,bert,1,7,1,32,18687.0,18759.408163265307,409.50235694257526
resnet152,29,50,1,0,vgg19,5,21,1,0,bert,5,9,1,8,16174.0,16156.19387755102,126.46405137052278
resnet152,9,25,1,0,vgg19,16,20,1,0,bert,5,11,1,32,12250.0,12931.061224489797,1504.1932193536575
resnet152,29,36,1,0,vgg19,17,21,1,0,bert,1,10,1,32,16393.5,17070.224489795917,3493.181978849575
resnet152,37,48,1,0,vgg19,12,18,1,0,bert,5,11,1,32,11492.0,12733.234693877552,2251.692102057873
resnet152,3,23,1,0,vgg19,4,21,1,0,bert,2,11,1,8,16585.5,17914.979591836734,2762.3206044976905
resnet152,22,41,1,0,vgg19,10,17,1,0,bert,0,5,1,16,12349.5,12729.142857142857,1062.74575069122
resnet152,7,20,1,0,vgg19,3,11,1,0,bert,3,9,1,32,11504.0,12776.765306122448,2210.059500542732
resnet152,23,36,1,0,vgg19,11,19,1,0,bert,1,11,1,32,18742.5,20033.061224489797,3639.6778053646185
resnet152,13,45,1,0,vgg19,7,11,1,0,bert,4,10,1,64,23489.5,23508.14285714286,98.99505244285326
resnet152,46,50,1,0,vgg19,0,21,1,0,bert,5,11,1,16,11008.5,11499.5,2166.8168143945295
resnet152,12,47,1,0,vgg19,13,20,1,0,bert,0,11,1,32,23460.5,24227.163265306124,2430.192188981204
resnet152,19,45,1,0,vgg19,13,19,1,0,bert,2,6,1,64,16585.5,16601.102040816328,82.78796247359242
resnet152,40,50,1,0,vgg19,7,19,1,0,bert,5,9,1,16,7527.0,8360.510204081633,1642.355657900789
resnet152,18,50,1,0,vgg19,4,21,1,0,bert,6,11,1,64,20795.0,20787.479591836734,106.30714353786551
resnet152,31,38,1,0,vgg19,5,20,1,0,bert,6,10,1,32,7964.0,8710.244897959185,1362.4722581802184
resnet152,33,43,1,0,vgg19,7,19,1,0,bert,7,11,1,16,7455.0,8199.081632653062,1701.8643059260303
resnet152,24,28,1,0,vgg19,6,12,1,0,bert,0,6,1,8,10751.5,11457.0,1511.3287706720946
resnet152,6,36,1,0,vgg19,1,21,1,0,bert,3,10,1,8,19488.0,19656.938775510203,768.4673962561487
resnet152,20,51,1,0,vgg19,14,20,1,0,bert,3,11,1,16,19984.5,20030.122448979593,233.44016693118527
resnet152,41,47,1,0,vgg19,14,20,1,0,bert,4,10,1,64,11237.0,12184.020408163266,2028.8591495131195
resnet152,32,43,1,0,vgg19,13,21,1,0,bert,5,9,1,8,7473.0,8013.0,1116.6177063081243
