model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,35,4,0,resnet152,48,49,4,0,bert,9,11,4,16,16460.5,16520.244897959183,164.7421027944977
resnet101,12,35,4,0,resnet152,27,52,4,0,bert,0,9,4,32,12149.0,12684.265306122448,1016.2064966818386
resnet101,0,13,4,0,resnet152,0,13,4,0,bert,4,12,4,32,8124.5,8203.030612244898,297.74240524187513
resnet101,0,30,4,0,resnet152,11,41,4,0,bert,3,12,4,32,15072.0,15169.163265306122,341.3721619234301
resnet101,4,30,4,0,resnet152,0,2,4,0,bert,0,12,4,64,13325.5,14103.102040816326,1754.345854540311
resnet101,24,35,4,0,resnet152,45,52,4,0,bert,0,12,4,8,11752.5,11912.908163265307,681.5781819399932
resnet101,0,35,4,0,resnet152,26,52,4,0,bert,11,12,4,64,17060.5,18539.79591836735,2072.3114668151466
resnet101,0,4,4,0,resnet152,0,52,4,0,bert,0,2,4,16,24478.0,24507.602040816328,212.90261929332272
resnet101,0,35,4,0,resnet152,0,10,4,0,bert,0,12,4,8,17331.0,18540.948979591838,2067.277477956529
resnet101,13,35,4,0,resnet152,45,47,4,0,bert,0,12,4,32,11612.5,11822.704081632653,535.3860939314516
resnet101,0,35,4,0,resnet152,0,0,4,0,bert,0,12,4,32,16899.0,17135.428571428572,920.6286893604116
resnet101,0,35,4,0,resnet152,0,34,4,0,bert,8,12,4,64,17097.0,17584.11224489796,1469.0901104790016
resnet101,8,35,4,0,resnet152,0,29,4,0,bert,0,10,4,16,14401.0,15487.489795918367,1358.7335282962163
resnet101,0,35,4,0,resnet152,46,52,4,0,bert,3,12,4,32,16893.5,17133.34693877551,905.3038513708839
resnet101,9,35,4,0,resnet152,0,52,4,0,bert,0,12,4,64,24944.5,26204.70408163265,2642.3371542863556
resnet101,8,21,4,0,resnet152,45,47,4,0,bert,0,12,4,32,11464.0,11524.908163265307,382.90447699757925
resnet101,0,5,4,0,resnet152,0,52,4,0,bert,0,12,4,32,25037.5,26168.938775510203,2350.458634430721
resnet101,0,19,4,0,resnet152,44,52,4,0,bert,0,12,4,8,11651.5,11837.377551020409,869.3480024086797
resnet101,29,35,4,0,resnet152,47,50,4,0,bert,0,12,4,64,11269.0,11419.785714285714,778.1373134424467
resnet101,0,35,4,0,resnet152,0,31,4,0,bert,11,12,4,64,17304.5,18655.04081632653,2036.9072239918914
resnet101,0,21,4,0,resnet152,0,45,4,0,bert,0,12,4,32,21747.5,21844.928571428572,443.72880231060054
resnet101,20,35,4,0,resnet152,0,52,4,0,bert,0,12,4,32,24744.0,24798.969387755104,279.47561881471887
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,2,12,4,16,25177.0,25845.836734693876,2035.6803139715673
resnet101,0,35,4,0,resnet152,10,52,4,0,bert,9,12,4,8,20375.0,20454.0,189.92957878634698
resnet101,0,35,4,0,resnet152,9,35,4,0,bert,0,12,4,32,17275.0,17911.867346938776,1436.6372629374152
resnet101,0,35,4,0,resnet152,0,5,4,0,bert,0,9,4,8,16770.0,17253.918367346938,1281.8586606912525
resnet101,0,35,4,0,resnet152,17,52,4,0,bert,4,12,4,16,17338.5,18354.622448979593,1676.9096668946167
resnet101,0,21,4,0,resnet152,46,52,4,0,bert,0,5,4,64,10621.5,10615.795918367347,91.04147509471662
resnet101,0,19,4,0,resnet152,30,49,4,0,bert,7,12,4,64,11650.5,11484.734693877552,1111.6404549319138
resnet101,0,13,4,0,resnet152,0,15,4,0,bert,0,12,4,32,12152.0,12232.734693877552,628.9911675026407
resnet101,25,26,4,0,resnet152,0,31,4,0,bert,0,12,4,8,15259.5,15811.979591836734,1476.0791899805752
resnet101,0,25,4,0,resnet152,0,0,4,0,bert,7,12,4,8,12417.5,12430.612244897959,151.78163911524825
resnet101,0,35,4,0,resnet152,0,12,4,0,bert,4,12,4,64,17197.5,17194.591836734693,152.56111767825593
resnet101,0,35,4,0,resnet152,11,52,4,0,bert,3,12,4,32,19974.0,21083.081632653062,1849.3816433402449
resnet101,24,35,4,0,resnet152,0,46,4,0,bert,0,3,4,8,21988.0,22032.19387755102,191.6938810816565
resnet101,0,28,4,0,resnet152,35,52,4,0,bert,5,7,4,32,13887.5,13914.948979591836,141.5300049278496
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,0,12,4,64,24888.5,25149.622448979593,985.5325972855336
resnet101,1,35,4,0,resnet152,0,27,4,0,bert,0,12,4,32,17212.5,18026.928571428572,1768.71139678073
resnet101,11,35,4,0,resnet152,2,52,4,0,bert,0,12,4,16,24246.0,25228.255102040817,2464.620425762599
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,7,12,4,32,25197.0,27142.0,3367.5509632069293
resnet101,0,1,4,0,resnet152,0,17,4,0,bert,6,12,4,64,8534.0,9062.142857142857,964.8110209374937
resnet101,17,35,4,0,resnet152,0,52,4,0,bert,0,12,4,8,24658.5,24916.928571428572,1168.4215346582164
resnet101,0,35,4,0,resnet152,0,16,4,0,bert,0,6,4,8,17157.0,18316.091836734693,1769.5838037529586
resnet101,12,35,4,0,resnet152,0,52,4,0,bert,0,6,4,32,29943.0,30061.775510204083,385.3776184315911
resnet101,0,35,4,0,resnet152,1,52,4,0,bert,0,12,4,16,35046.0,35141.47959183674,366.25972800598356
